,Gr,Rd,Time,Cell
Cell1_0.0,2.5477747053878224,2.929929560084588,0.0,Cell1
Cell1_2.5,2.5658478186735176,2.204119982655925,2.5,Cell1
Cell1_5.0,2.7671558660821804,2.3096301674258988,5.0,Cell1
Cell1_7.5,2.9479236198317262,2.3820170425748683,7.5,Cell1
Cell2_0.0,2.378397900948137,3.412964271996662,0.0,Cell2
Cell2_2.5,2.460897842756548,2.9242792860618816,2.5,Cell2
Cell2_5.0,2.7075701760979363,2.3961993470957363,5.0,Cell2
Cell2_7.5,2.981818607170664,1.462397997898956,7.5,Cell2
Cell3_0.0,2.41161970596323,3.129367595722986,0.0,Cell3
Cell3_2.5,2.531478917042255,2.220108088040055,2.5,Cell3
Cell3_5.0,3.1248301494138597,2.4456042032735974,5.0,Cell3
Cell3_7.5,3.256717745977487,2.519827993775719,7.5,Cell3
Cell4_0.0,2.59659709562646,3.4683473304121573,0.0,Cell4
Cell4_2.5,2.770852011642144,3.2422929049829308,2.5,Cell4
Cell4_5.0,2.81424759573192,2.88930170250631,5.0,Cell4
Cell4_7.5,2.781036938621132,1.255272505103306,7.5,Cell4
Cell5_0.0,2.562292864456474,3.453471233722936,0.0,Cell5
Cell5_2.5,2.823474229170301,3.055378331375,2.5,Cell5
Cell5_5.0,2.9661417327390325,2.4955443375464483,5.0,Cell5
Cell5_7.5,3.1383026981662816,2.2380461031287955,7.5,Cell5
Cell6_0.0,2.6522463410033232,3.3778524190067545,0.0,Cell6
Cell6_2.5,2.103803720955957,3.247236549506764,2.5,Cell6
Cell6_5.0,2.494154594018443,3.1172712956557644,5.0,Cell6
Cell6_7.5,2.577491799837225,1.9030899869919435,7.5,Cell6
Cell7_0.0,2.660865478003869,3.089198366805149,0.0,Cell7
Cell7_2.5,2.854913022307856,2.037426497940624,2.5,Cell7
Cell7_5.0,3.006466042249232,2.3729120029701067,5.0,Cell7
Cell7_7.5,3.1789769472931693,2.167317334748176,7.5,Cell7
Cell8_0.0,2.56702636615906,3.291146761731885,0.0,Cell8
Cell8_2.5,2.745074791582057,2.506505032404872,2.5,Cell8
Cell8_5.0,2.7307822756663893,2.1760912590556813,5.0,Cell8
Cell8_7.5,2.859738566197147,2.311753861055754,7.5,Cell8
Cell9_0.0,2.519827993775719,3.413299764081252,0.0,Cell9
Cell9_2.5,2.677606952720493,2.287801729930226,2.5,Cell9
Cell9_5.0,2.9800033715837464,1.8325089127062364,5.0,Cell9
Cell9_7.5,3.27600198996205,2.167317334748176,7.5,Cell9
Cell10_0.0,2.523746466811565,3.250907699700856,0.0,Cell10
Cell10_2.5,2.6963563887333324,2.1172712956557644,2.5,Cell10
Cell10_5.0,2.8407332346118066,2.418301291319745,5.0,Cell10
Cell10_7.5,3.002597980719909,2.4216039268698317,7.5,Cell10
Cell11_0.0,2.478566495593843,3.3571722577230334,0.0,Cell11
Cell11_2.5,2.813580988568192,1.4771212547196624,2.5,Cell11
Cell11_5.0,2.932980821923198,2.307496037913213,5.0,Cell11
Cell11_7.5,3.0666985504229958,2.437750562820388,7.5,Cell11
Cell12_0.0,2.392696953259666,3.37984917876283,0.0,Cell12
Cell12_2.5,2.5634810853944106,3.4394905903896835,2.5,Cell12
Cell12_5.0,2.552668216112193,3.084576277934331,5.0,Cell12
Cell12_7.5,3.0484418035504044,2.359835482339888,7.5,Cell12
Cell13_0.0,2.322219294733919,3.224014811372864,0.0,Cell13
Cell13_2.5,2.8041394323353503,2.4424797690644486,2.5,Cell13
Cell13_5.0,2.976349979003273,2.3096301674258988,5.0,Cell13
Cell13_7.5,3.1172712956557644,1.2041199826559248,7.5,Cell13
Cell14_0.0,2.530199698203082,3.351409751925439,0.0,Cell14
Cell14_2.5,2.765668554759014,2.6127838567197355,2.5,Cell14
Cell14_5.0,2.8998205024270964,2.0791812460476247,5.0,Cell14
Cell14_7.5,3.0576661039098294,2.161368002234975,7.5,Cell14
Cell15_0.0,2.423245873936808,3.2785249647370174,0.0,Cell15
Cell15_2.5,2.568201724066995,3.250663919463244,2.5,Cell15
Cell15_5.0,2.7745169657285498,2.3324384599156054,5.0,Cell15
Cell15_7.5,2.965201701025912,2.5943925503754266,7.5,Cell15
