,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.0727272727272727,0.0523787467415364,0.0458191157230727,0.0,0.0434503573052792,0.0488033631570402,0.0727246988953223,0.0756772008000656,0.0624618011240627,0.0652866242038216,0.036393202341371,0.0613248003163932,0.077059427689595,0.0383706904437984,0.0599078504171136,0.0460608658054491,0.0559948613231086,0.0810518090288196,0.0601936204845668,0.0636363636363636,0.1006308010653718,0.1176421303152495,0.1071737792442488,0.1323735896011132,0.0928689883913764,0.0685520947590038,0.050946187237733,0.073683009901948,0.0542105361062445,0.095541982624755,0.0481635964028547,0.0645068580567358,0.0872408897864485,0.0513126155459403,0.0990983467018002,0.0877011657662511,0.0897200479756882,0.0821583607729618,0.0976576225840446,0.0650266662671917,0.0679408102601007,0.0598957218848185,0.0845363868905104,0.0819912152269399,0.0762195121951219,0.0832057920111798,0.0554091703040481,0.0905363052281026,0.0447496310859837,0.0799274481463113,0.047629898388555,0.0531458279116982,0.0563936453802116,0.0528381750715028,0.0617103803411503
SMAD2,0.059090909090909,0.0295264366845755,0.003358915051308,0.0885603183009308,0.077338147932394,0.0222770651295565,0.0588877762072154,0.0212833567913021,0.0109890286703974,0.0875796178343949,0.0766206769917358,0.0217603667183997,0.0663414950074955,0.0829064565434408,0.0101949973894505,0.089694581738398,0.073856861574948,0.0146330261702955,0.0153389879592854,0.0636363636363636,0.0394851439355447,0.0106947441353879,0.0436928454118776,0.0321856226705118,0.0696517412935323,0.0682034725480306,0.0108368318693503,0.0241203219429939,0.0222434490186735,0.0339540585034999,0.020080294733603,0.0611260897332693,0.0163209891775213,0.0142009000261295,0.0225205184993774,0.0768121133337528,0.0485745673870889,0.0714242467019014,0.0483162206153917,0.0714393062631873,0.1039429750901988,0.0337240971509677,0.0,0.0717423133235724,0.0899390243902439,0.0671073347209651,0.0758221518892025,0.0163263694611892,0.0338692915956213,0.030814019242,0.0323139539550873,0.0373084637693779,0.0484477026334589,0.018863624414863,0.0329487138903489
TFDP1,0.0833333333333333,0.1329495796011757,0.0844948159778082,0.0494579328275923,0.0840248703337645,0.0661011605068948,0.0839618233747952,0.0814531098099257,0.065813659564954,0.0684713375796178,0.0983098343942975,0.073909171454819,0.0682124898661939,0.0921850853957221,0.0619926925999557,0.0590079442330615,0.0953904976204136,0.0944952176541323,0.0552616099232856,0.0742424242424242,0.0705630457377593,0.0711258463872229,0.0603938264506782,0.0,0.0812603648424544,0.0794182720241687,0.0732028600942931,0.031197184458055,0.0522598923488981,0.0675583476050246,0.0772812496782977,0.0734105760097004,0.0880475780348419,0.1632231020272031,0.0622483971567434,0.0880122081589872,0.0591217797757625,0.0806096434980238,0.0592262518018038,0.1000194583139462,0.0896963993951352,0.0665035028889277,0.0831162420036633,0.0805270863836017,0.0746951219512195,0.08178150307501,0.1126455608241381,0.0963370045239971,0.0603382001566672,0.0720469518903195,0.0605854939720094,0.0511800104805748,0.0698172391098005,0.0976399313660099,0.0891051722216695
TFDP2,0.0181818181818181,0.0250924299611635,0.1062678618042547,0.0060647643382352,0.0205630397354718,0.0828040530212538,0.0190008483593481,0.0434230530881622,0.097642152880003,0.0163216560509554,0.0238984346681009,0.0901567757673203,0.004413374744436,0.0185824500322594,0.087562061955175,0.0069031254827932,0.0312474183603981,0.0448943626431094,0.1212180344558,0.0136363636363636,0.0281060398831137,0.0344879423825205,0.0443243464227983,0.0228677676696741,0.0199004975124378,0.0139183412425761,0.0978955391636071,0.1239851287940306,0.1232339857201331,0.0119605488604685,0.1104626377324404,0.0134875552453844,0.0412484339807686,0.0236962169669512,0.0300611247247033,0.0381636423027882,0.0176818897364253,0.0240630666037099,0.022679035573151,0.0249388120784434,0.0141983726830697,0.0,0.0225761999984915,0.0248901903367496,0.0198170731707317,0.020986892970165,0.018637900335252,0.0361370085227728,0.093101057871601,0.0211485613693046,0.096460857021122,0.0755342882693003,0.0184922386488062,0.013936043140444,0.0219025283125812
EP300,0.0606060606060606,0.0514268106974764,0.0339496007855379,0.0906049521553553,0.0565510184453574,0.0587645408476224,0.0608526492655775,0.0803623117057978,0.0496855140387988,0.089171974522293,0.0434098590250442,0.0612522790182584,0.0703687763241377,0.0534507425460802,0.0463501696307359,0.0573609630891406,0.0488872466515469,0.0969515748083596,0.0571295087401655,0.0666666666666666,0.0967680201398879,0.1160240231661653,0.1134625902938763,0.1404046415007889,0.0779436152570481,0.0716422421247317,0.0452656549989551,0.0984158480813202,0.0491353030545935,0.0923036819075148,0.0518240728026377,0.0674682636310733,0.0790719549788354,0.0338389450112677,0.0872832287564184,0.076435669368777,0.0949214293770998,0.0751360094208018,0.1047188499571544,0.0631647375414346,0.0695330981813389,0.0470729366496587,0.0794686663410927,0.0746705710102488,0.0716463414634146,0.0776900051692642,0.0650549463453129,0.090399619481997,0.0464460181306277,0.07679273681899,0.0457778165524729,0.0474796768332305,0.0999860397823158,0.0624825356114338,0.0
CCNA2,0.0727272727272727,0.0175452501229829,0.0060043955690063,0.0878028226720184,0.0838159507999004,0.0285136232728876,0.072513377759945,0.0241946084090293,0.0210075731870847,0.0,0.0788296446807512,0.0230536218119018,0.0770927517289373,0.0802651608982701,0.0188271453984061,0.0971644161882504,0.0703505004870154,0.0145200596122738,0.0145663696453952,0.0636363636363636,0.0287979931634328,0.0107992254889205,0.0228887830582059,0.0440201100547835,0.0613598673300165,0.06854326671298,0.0116586766116147,0.0231567400535653,0.0163892888749013,0.0387044586645354,0.0182490148354,0.0622891149754571,0.0215979693035626,0.0240620026079838,0.0223339544375042,0.0781836697557292,0.0461913047766422,0.0810922282129721,0.0509520206399859,0.0890543311536023,0.0892128248282956,0.0228495983058762,0.071688668581442,0.0805270863836017,0.0762195121951219,0.0821431064462804,0.0638283951847811,0.0356046567812281,0.0158751467315282,0.0356965345507443,0.0148336139676785,0.0282388640452032,0.0596470303967269,0.0175958013568337,0.0374625012134418
CCNH,0.0727272727272727,0.01967666523942,0.0054296593329405,0.0895261935012362,0.0869316310628484,0.0234894862758015,0.0722579035911951,0.0202121006818407,0.0196719619016809,0.0843949044585987,0.0839933759556106,0.0179636663215323,0.0802721054375222,0.07864587232332,0.0169026052242681,0.0959805064652419,0.0851958647158496,0.0220475928387234,0.0177630815284948,0.0803030303030303,0.058077047524034,0.0178765148659623,0.055072023356119,0.0530142414835904,0.0,0.0865656976528195,0.0147077085852444,0.031153356598429,0.0245839316018401,0.0552113419995577,0.0222296953631939,0.0789997554603573,0.0144526810256557,0.0128011149009046,0.0230184473110683,0.0655442824987507,0.0419492483220919,0.0629046359253741,0.0500104084695767,0.0745202953395155,0.0777096066120255,0.0283987369699779,0.063263995778268,0.0629575402635431,0.0762195121951219,0.060624680463426,0.0552891715158475,0.0207743579083138,0.0230082715635004,0.0395992102609962,0.0215975777574177,0.0294255877934556,0.0718430758099977,0.0214486108030499,0.0481167912653656
CDK1,0.0439393939393939,0.0,0.0980107730107661,0.0465208064824835,0.0567858605074418,0.0946701358239202,0.0439391861554662,0.0757827963205389,0.1194247493148919,0.0414012738853502,0.0408902550736272,0.1216919410347085,0.0441211367934171,0.0516106283687307,0.1112541526061925,0.0441742221718523,0.0499895975542844,0.0791054127223398,0.1278443027847234,0.0439393939393939,0.0279559803611857,0.0675820118434438,0.0586523674625772,0.0330924227833493,0.0414593698175787,0.0475136345578088,0.1346030057723529,0.1036843791351906,0.1275266040569547,0.0692747481176302,0.1498358514455976,0.0457773883225591,0.0757025038649655,0.1524808652174675,0.0673926056893053,0.0446941418022106,0.0723900941869611,0.0379568641361046,0.0408516749989256,0.0391235653987734,0.0515283708866648,0.1079096071034466,0.0504300812694573,0.0380673499267935,0.0442073170731707,0.0385730188791167,0.074656322691746,0.0755707116171876,0.0978675777805948,0.0656562827873549,0.0974212002745064,0.0947657399247167,0.0501284208676509,0.0972051537804324,0.0931809160569357
HDAC1,0.0681818181818181,0.0240686971828885,0.0082405689896529,0.0928082917850268,0.0836659433726148,0.0204054878704215,0.068418365682705,0.0198025212565504,0.0227563204129175,0.0875796178343949,0.0784732928240258,0.0215423238767952,0.0720167688576626,0.0876822878492772,0.019757436171438,0.1019331572364273,0.0774448648514423,0.017690114661735,0.0161718040824134,0.0696969696969697,0.0535095167116684,0.0111568520813552,0.045284910564766,0.0368694208563116,0.085820895522388,0.0,0.0173371103277228,0.0293624442799656,0.0202920666315316,0.0447559512576195,0.018453419220238,0.0666244291556085,0.0061209792540817,0.0110708423352036,0.0191352258977018,0.0739366286131499,0.0354349467830848,0.0701116380601899,0.0451460414897383,0.070690184566474,0.0881612235274643,0.0299850962277515,0.0714440293455452,0.0702781844802342,0.0807926829268292,0.0667848657340398,0.0548075034432067,0.0189220919643142,0.0252113590899305,0.0429659727392468,0.0239139391071998,0.0245963178728931,0.0646627885112348,0.025438348250941,0.0358510934938841
HDAC2,0.0681818181818181,0.1168750711500045,0.0866078108342332,0.0748021998756319,0.0701375704903392,0.0511622599941531,0.0685268901360227,0.0691521450771642,0.0,0.0859872611464968,0.0797334818310176,0.0542047477467092,0.0592370675284842,0.0950960090159667,0.0728405884105579,0.0775580434521527,0.0925077662159698,0.0832693692719179,0.0635241573156596,0.0803030303030303,0.0745471045047698,0.072360318627531,0.0604121150411207,0.0334148598434598,0.0779436152570481,0.0863297918088559,0.0924537151255103,0.0401585549275825,0.0549879914650438,0.0852725030853204,0.0815699927403071,0.080210638405601,0.0851884831492977,0.1106027340740616,0.0771072778583179,0.0890194588057883,0.05976661821287,0.0819533765954645,0.0553871021206275,0.0818154043386697,0.0627582255136204,0.0534938896776355,0.0684574175155784,0.0819912152269399,0.0564024390243902,0.0814235174351341,0.092029273052077,0.0783013318938462,0.0513747946281825,0.0849309102153862,0.04968851442645,0.0546233724239023,0.072787031911401,0.1213463143309001,0.0814902764600057
