,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA
MYC,0.1238772455089819,0.1196886773904715,0.1173264892772919,0.0,0.1357659429319068,0.1033386327503975,0.112829445126495,0.1108200098410676,0.1480725637511534,0.1033386327503974,0.123877245508982,0.1071423144592551,0.1274808869527261,0.1043557354346368,0.126579828704443,0.1220585335881142,0.1006208923405775,0.1117941967246543,0.0924336973478939,0.1225925925925925,0.0959812478969118,0.0925584086055347,0.1140802738161534,0.1652311710223755,0.0924336973478939,0.1225925925925925,0.130665308405368,0.1416179017691997,0.0928249827982071,0.1220303736829557,0.1244583292730114,0.1466048712400535,0.1251007037005307,0.0717534601428097,0.1163675397284223,0.1220265687961619,0.1280261676375612,0.1065318818040435,0.1036074380151893,0.1029007275500597,0.0863464792675563,0.1224056715243902,0.0897678604953417,0.1065318818040435,0.1164523320673269,0.1114291139689678,0.1355164733647753,0.079027486164309,0.1270718408934479,0.1293494704992435,0.1249818644316741,0.0788116069520026,0.1163529543613798,0.1310652922911894,0.1206171941242388
SMAD2,0.0505239520958083,0.0299068079508345,0.0485279138605025,0.0369733575818535,0.0404580413690491,0.0484896661367249,0.0576491563107704,0.0376358225244724,0.0363389565396895,0.0484896661367248,0.0505239520958083,0.0402824683364316,0.0370363157610915,0.0753491170493964,0.0412402905030253,0.0341488385492761,0.0258862647803156,0.0388663866951848,0.0393915756630264,0.0351851851851851,0.0255997583383303,0.1132909634778347,0.0452617894160314,0.0373800639540019,0.0393915756630264,0.0351851851851851,0.0458442552502943,0.0363372951866125,0.0379265173022156,0.0264580074725932,0.0298607519757644,0.0282363534823726,0.0569772739074882,0.1429241644843274,0.0336208753782201,0.0399954096291231,0.0360766341850222,0.0346034214618973,0.1381150983020801,0.0898281653069732,0.1502240331387976,0.0331339483762658,0.0,0.0346034214618973,0.0694324338523027,0.0357114989331338,0.0353238366906768,0.1166528587610495,0.0404335868329855,0.0257186081694402,0.0469067541240644,0.1172025733499098,0.0387067425591738,0.0223401040061315,0.0312672261564636
TFDP1,0.1002994011976048,0.1406435746544658,0.1071613773096088,0.1406811670365707,0.1163286013742033,0.1112877583465819,0.1044827146932,0.1189421858467546,0.1414522039508306,0.1112877583465819,0.1002994011976048,0.1139095563739313,0.1131317019621359,0.099497656894384,0.1047106128446961,0.1186187898112918,0.1317711563688301,0.1223058067819438,0.109204368174727,0.1092592592592593,0.1187971982142131,0.0688555876333255,0.110423677379092,0.0,0.109204368174727,0.1092592592592592,0.0937483247301922,0.1515333916516218,0.1071821681985217,0.1209816157375521,0.1191506501188531,0.131587990615561,0.1447853213515535,0.0678089129347739,0.1421247996907981,0.120829840123461,0.1416219390474656,0.1209175738724727,0.0429556862508015,0.1156124733712992,0.1058279513117616,0.1402581558022353,0.1064696419794315,0.1209175738724727,0.1473067596071129,0.1491480152793704,0.1091297528482153,0.0932194073148044,0.1331912255412668,0.1123298033282904,0.1306214622235159,0.0867578186126263,0.1076048720315302,0.1133095712161736,0.1166703916771412
TFDP2,0.1111526946107784,0.0651575159479627,0.1012570647188969,0.0735165555190339,0.0401043204184241,0.1073131955484897,0.1003959252918196,0.092291016193942,0.0910319003100621,0.1073131955484897,0.1111526946107784,0.1081872004311732,0.1021815201575669,0.0328859222779729,0.1085103310316698,0.0545104233828046,0.0897169195317735,0.1029334816016399,0.126365054602184,0.1077777777777778,0.1300524651637059,0.0446741762913,0.1443808822495478,0.0639494791061274,0.126365054602184,0.1077777777777777,0.0403976391897323,0.0793231040559504,0.1295332418188847,0.1095198579529074,0.1277132903795786,0.0658286718316053,0.0314240854638296,0.0333742701917943,0.0809054392766478,0.1212340876793718,0.0561032566953331,0.109253499222395,0.0416410215698312,0.0364873992610607,0.0356882305503112,0.0,0.0286165391953866,0.109253499222395,0.0262435422049012,0.0702912886495509,0.0691252387478853,0.0280514080792326,0.0482120185312386,0.1077912254160363,0.0426995294734477,0.030392022424464,0.1023445886918815,0.1103810250664409,0.1272652472688985
EP300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK1,0.0265718562874251,0.0,0.0307569346215974,0.0248113483864745,0.0315861063597779,0.0282193958664546,0.0362908271756892,0.0256995618154162,0.0312707873280504,0.0282193958664546,0.0265718562874251,0.0233320151877809,0.0215258930796433,0.0496767933756591,0.0225427748102851,0.0213987227917526,0.0351756657945021,0.0284929557074042,0.0304212168486739,0.0288888888888888,0.0259283340498561,0.1039627690735955,0.0265135485557925,0.0332230152017962,0.0304212168486739,0.0288888888888888,0.0645846790290374,0.0307295017733255,0.0292672621504147,0.0217756624882331,0.0340558638857954,0.0238226730157841,0.0494119939050608,0.10560880784532,0.0271737213004192,0.0353711606066117,0.0291972568285965,0.030715396578538,0.1293935024261811,0.0675167189016079,0.1428148041379672,0.0295262888496346,0.1420422390183552,0.030715396578538,0.0587200968416314,0.0267779561395607,0.0253506278042892,0.0829200587266452,0.0397632527200122,0.0381996974281391,0.0466533943569649,0.1349176312289475,0.0467146962428507,0.030833849567954,0.0326845210020209
HDAC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDAC2,0.122380239520958,0.1361515102884996,0.1322100819830201,0.141170103766156,0.1229841963277124,0.1021462639109698,0.1328315808622035,0.1114720250120699,0.0,0.1021462639109698,0.122380239520958,0.1030624340173773,0.1241381643299816,0.1221995755552232,0.1234932155897058,0.1239821832373285,0.1486528297659256,0.1225347684048407,0.1189547581903276,0.1137037037037037,0.1216661456049768,0.0843826466367567,0.1230325607579021,0.1292673624488845,0.1189547581903276,0.1137037037037037,0.12041355051118,0.1348299400475319,0.118276353145982,0.114898181536871,0.1402897608134062,0.1157911024812766,0.118187893453682,0.0614048189382612,0.129642229103142,0.1140570963054841,0.1203277023801266,0.1080870917573872,0.0473786323949864,0.1070640277241367,0.0826445669072659,0.1234429182936158,0.0958771813625065,0.1080870917573872,0.1138101039213135,0.1295225664368184,0.1083666204280388,0.0822350891980175,0.1033281923004391,0.105143721633888,0.10066187228778,0.0903048071453198,0.0750508243877493,0.1030189492005334,0.0857236642358417
