,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,GADD45A,SKP1,YWHAB,PRKDC,ORC5,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,YWHAQ,CCNB1,CDK2,PCNA
MYC,0.0253108736708696,0.0178072567793474,0.0264339268938654,0.0,0.0846312822067973,0.0152938243566664,0.0163277881632119,0.081646702144682,0.0152033326961625,0.0470032015386261,0.0846199488889171,0.0182829888712241,0.0193552543716367,0.019423264977862,0.0126060861101574,0.0730278815481896,0.055001550279841,0.0992220725686613,0.0157138134770921,0.0366666666666666,0.0302270493360542,0.0313735628818676,0.0178212423503313,0.0411199528528283,0.0889795637025085,0.0586435573006404,0.0175507020280811,0.0619211853307307,0.0731380168815909,0.1157860779911716,0.0841396394028547,0.115161347418014,0.082793603581551,0.0682651267176543,0.0523747033529935,0.080516282458938,0.0224550898203593,0.0783733067288355,0.0202656307871073,0.0870088241229408,0.0224550898203592,0.0879809533620047,0.0224550898203592,0.0167527228036562,0.0354615786717536,0.0632674280502142,0.0224550898203592,0.0788510650987944,0.0253457918855124,0.0187790688733913,0.0755416048259502,0.0983724521958582
SMAD2,0.0390810042789413,0.0314769192442591,0.0406604999988648,0.0964143130167828,0.1001127806983268,0.0324249020100442,0.028518915602579,0.1010136535690721,0.0206302814939567,0.049270030458588,0.1000582139566212,0.0381558028616852,0.030390468393333,0.0240033891994402,0.0190635377643528,0.1034796315707833,0.05463614290181,0.0775435816635208,0.0261261242313479,0.0281481481481481,0.0165905160527281,0.0227553008870026,0.0301162098611142,0.0323769906638279,0.0846603896187966,0.0416990179090268,0.0296411856474259,0.0468105415854447,0.0563869215619192,0.0955794558595289,0.0775317822900377,0.0949825678769942,0.0816926857351747,0.0942152673183492,0.0744061156478381,0.0998116420872241,0.0359281437125748,0.0985176746930458,0.0218072124290015,0.1081708466307254,0.0359281437125748,0.0,0.0359281437125748,0.0228136670596384,0.0331316644745859,0.0880544098773096,0.0359281437125748,0.0980212468941571,0.0238878157283181,0.025376339122077,0.0812733360995351,0.0933898575178765
TFDP1,0.1473903525200263,0.1981163348274212,0.1479849571096806,0.0703670812196076,0.0508035490361235,0.166755838932151,0.154374651405276,0.0502452473779897,0.18223303613181,0.148280658806326,0.0507705698402677,0.1629570747217806,0.139753489261255,0.1689463280180264,0.160472723289121,0.0552094623969227,0.1262774805594758,0.0555748192436865,0.1568349569583101,0.1466666666666666,0.1302763871126762,0.1537276709190329,0.1634043579906319,0.0,0.0619399148328575,0.134984461935286,0.1540561622464898,0.115459289964021,0.0624915777798553,0.034647137850603,0.0586290960922774,0.0364351452232474,0.0764404820731267,0.0522101302720633,0.1346297624654568,0.0511298317409968,0.153817365269461,0.0521724173530568,0.1578908525427213,0.0517129918269079,0.1538173652694611,0.0520397843467088,0.1538173652694611,0.1402315229442614,0.1648430927889026,0.0655082145018049,0.1538173652694611,0.0468898867965768,0.1499463830749092,0.10658813142708,0.0982376201355115,0.0496500795171549
TFDP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNA2,0.0149273698932108,0.0234003474258262,0.0153437291440216,0.075857094466367,0.0714571609757558,0.0212097306437544,0.0129744111666384,0.081019694223058,0.0145556440242507,0.0,0.0715051484752178,0.0258346581875993,0.0136746792604523,0.0217552869368057,0.0133531640125169,0.081396341037139,0.0620000575643157,0.0878848913995413,0.024807533116986,0.0281481481481481,0.0246172893811639,0.0262764428571764,0.0284543142090294,0.0379367655035305,0.0925728849150453,0.0533110260323052,0.0280811232449298,0.0496100647164616,0.0651997046947402,0.0950467560310605,0.079263408258491,0.0938999904500438,0.064478470006215,0.0815117324617362,0.0518925106225137,0.1000529093978469,0.0280688622754491,0.0900650081821933,0.0145558526901992,0.1073676148909711,0.028068862275449,0.1076307678228903,0.028068862275449,0.0379690959083325,0.0240045358536371,0.0688615369363526,0.028068862275449,0.0973536447851062,0.0206008143296142,0.0274010893035818,0.0637155526319748,0.1125036808704294
CCNH,0.0304698181289761,0.027136798703401,0.0306232530752918,0.0767276443185681,0.0924142646253585,0.0257261491277755,0.0251113602610622,0.0794394320932235,0.0198631172790166,0.0404721850570154,0.0924490358205578,0.0298092209856916,0.0244547291697588,0.0207490001691853,0.0183693542859699,0.0775649841581034,0.0653763488231848,0.0949016886796297,0.0241598090690132,0.0311111111111111,0.0278081859359847,0.0276434222779264,0.0279329592372808,0.0399671332271943,0.0,0.0483129175534242,0.0304212168486739,0.0554082749729429,0.0789039515724298,0.0993228066288083,0.0939289900651359,0.0984782494780536,0.0783778739620895,0.0803110335414797,0.0655928890774602,0.0990048067678896,0.029940119760479,0.0933082221093708,0.0278314225299902,0.1043099786220739,0.029940119760479,0.1052692672984716,0.029940119760479,0.0258330786360107,0.0394376613633127,0.0743163968830652,0.029940119760479,0.094541756843334,0.0213609951526795,0.0186660177568699,0.0801781110294576,0.0885754477813261
CDK1,0.1379211530886981,0.0,0.1406570977553124,0.0549263671318382,0.0565403627567273,0.1383589868160213,0.1439578363277812,0.0372676384936263,0.1832691982182499,0.1126150614189797,0.0565038328179447,0.1375198728139904,0.1343760606471453,0.1280862603034474,0.1626496185854486,0.0376497512532959,0.1300040993363838,0.0603497586103113,0.1574107407625614,0.1518518518518518,0.1451081420589387,0.1565029037759268,0.1614404008852658,0.1800778541922008,0.0656316345605294,0.1393058216713773,0.1501560062402495,0.1249341226168766,0.073243391367423,0.0412953268963495,0.0641068704827355,0.0426685233525152,0.0545985593829384,0.0552541262922891,0.1006703438389136,0.0579233223307739,0.1268712574850299,0.0556731957937481,0.13460056056493,0.0594469343677552,0.1268712574850299,0.0592831603143429,0.1268712574850299,0.1351353988418819,0.135750006530135,0.0659214974628554,0.1268712574850299,0.0539297675979445,0.1560965989068604,0.1263020469885363,0.0771167241070877,0.0596194981328288
HDAC1,0.0247850479357746,0.027234939854882,0.0255707475846317,0.1122071694815079,0.0855849524347706,0.0267252549132569,0.0196786893844053,0.1136533242971213,0.0245279858367138,0.0514245161573935,0.085662152200372,0.0317965023847377,0.0213460047241653,0.0258301609734221,0.0204114352024869,0.1043793135004781,0.0734949754680571,0.0637433298008856,0.0327586603477456,0.0237037037037037,0.0307227284909727,0.020559833845829,0.0378263869746494,0.0255590494769732,0.1087543224786818,0.0,0.0366614664586583,0.0387778310900229,0.0843693288355816,0.0753735242565623,0.1014286089731685,0.0737749291861947,0.0763521438712122,0.0608280772702206,0.0687835055941036,0.0724077076669843,0.0344311377245509,0.0665318151227174,0.0273324559055263,0.0783935798929857,0.0344311377245508,0.0786081752458303,0.0344311377245508,0.0231149703025659,0.033422944049688,0.0528539205268876,0.0344311377245508,0.0710804263909284,0.024310270880495,0.0216953370608644,0.0741142247468815,0.0829991308982168
HDAC2,0.1409891740960115,0.1381085162292937,0.1397121761794437,0.0618122664345777,0.0540250271980558,0.1184100453009305,0.1427834908311068,0.0575882228294168,0.0,0.1003962387572683,0.0539251303609765,0.1160572337042925,0.1516238992048577,0.1266119716975821,0.1340227307598091,0.0383939593953765,0.0676421061428281,0.0451034208690172,0.1322105384909039,0.1322222222222222,0.162875688234107,0.133422807570209,0.1531654093553704,0.1450883523243456,0.0617615322893925,0.1098529541417584,0.1310452418096723,0.1564504734808297,0.0767562026951529,0.0471490395498945,0.0601552916294965,0.0476946279318566,0.0614226845573219,0.0477170932746522,0.1186935562826398,0.0380496684077477,0.1373502994011975,0.0482467186751822,0.1684042430826538,0.0518276163901662,0.1373502994011976,0.0512495155506485,0.1373502994011976,0.1529288692196595,0.1322328523506378,0.0580776434815298,0.1373502994011976,0.0470416076820953,0.1167349909120061,0.1726733594221293,0.0403462723116811,0.0475672234662944
MAD2L2,0.0214022433881861,0.0229158061613151,0.0222752911594221,0.0716417968708107,0.0893826412713922,0.0205364370180548,0.0167599095900126,0.078891043747433,0.0181088664296336,0.0414101435956057,0.0894393682876269,0.0230524642289348,0.0175343885790029,0.0210474340438888,0.017072413491953,0.0728095898713763,0.0786903168812767,0.1009768838779029,0.0317674764156148,0.0388888888888889,0.0273343221393381,0.0319850193127403,0.0369657155167027,0.0273780298350791,0.1181052756287871,0.0415720306639425,0.0382215288611544,0.0658612454311031,0.0877006775638833,0.1091549888197662,0.1081348198234049,0.1093879854220016,0.0698573367074279,0.084046716970277,0.0607374698713364,0.0979432803210205,0.0276946107784431,0.0926897511823581,0.0244752200757766,0.0,0.027694610778443,0.1042130868614165,0.027694610778443,0.0215414083792953,0.0322680804116886,0.0776279138679823,0.027694610778443,0.0933721649207986,0.0230808240049961,0.0203998491142789,0.0852764729940733,0.0983767355795053
MDM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
