,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.0607433070148048,0.0489904782954158,0.0671380793197004,0.0,0.0801865243857876,0.0572337042925278,0.0769605091994226,0.0766265107219147,0.0576659747326518,0.0571025439287965,0.0717646607410471,0.0787739789727181,0.0688691696009829,0.076070876482908,0.0664665185665234,0.061008738679889,0.0572887946077883,0.0884002286499431,0.0549699154890275,0.054219511084113,0.0539538025981331,0.0747223934761523,0.0578225991281746,0.0693275512816434,0.0572673954630965,0.0724049449844545,0.065405853158621,0.0904044535175939,0.0534783768398411,0.0829358913940317,0.0649612733906176,0.0673854324600129,0.0639851529463765,0.0703396356236273,0.0556861540516018,0.0729118342714636,0.0699016215502526,0.0645742147419888,0.0622770012423305,0.0699068174307599,0.0698396880331994,0.0689616511378764,0.0769545973375917,0.0825337987170442,0.0630083154596989,0.064077265654043,0.0686208706150913,0.0666086926686726,0.0620302551766726,0.0768936454219642,0.0610442428014932,0.0620272314674735,0.0558407652520784,0.0691450632553722,0.0594421361653985,0.0615129047201348,0.0607601744970476
SMAD2,0.0697128744838542,0.0624346511540206,0.1074002980811286,0.0603666201121255,0.0648171992198945,0.054054054054054,0.0613832957843328,0.0682465455787105,0.050474647141829,0.0733430976739871,0.0502856773145993,0.0645947306043179,0.0525491328385353,0.0736353150195343,0.1111702847274958,0.0707062937936305,0.0176135720600483,0.075561442837625,0.0403000976248619,0.0442406454092655,0.0409159722378772,0.0476186196278013,0.0880657402581426,0.0688236297840444,0.0432785124555028,0.0452452691916244,0.0247467946724117,0.0810032919834363,0.1061730010917296,0.0748581668875184,0.0137019318946211,0.0420355829623341,0.0586912579451912,0.0588467766759252,0.1281657869990576,0.0956119976467697,0.0404840669478841,0.1297217956522017,0.1144865572651961,0.0605093106033983,0.0447916083296997,0.0775555382208477,0.067766787905914,0.0,0.0686956715095516,0.0724372126244892,0.0520188362629642,0.1240650035649235,0.0535522668990204,0.0716157845642745,0.0920172194897918,0.0332829046898638,0.0535242624350973,0.0461745756819747,0.0536324259871223,0.0360189234350328,0.0647671497974902
TFDP1,0.0422692188625342,0.0651120590628642,0.0597392987624699,0.08409599400282,0.0622427219992685,0.0779014308426073,0.0584642066916062,0.0908276821398732,0.0421491640780512,0.0763708761441,0.0502138404566998,0.0915605021127333,0.0490434771649104,0.0887761536350834,0.0596058674962946,0.0822320832540186,0.0632318038641327,0.0691156632876059,0.0587158552243095,0.0471842615031901,0.0594475320957581,0.0594824948844215,0.0727001436526932,0.0,0.0617053169420912,0.0607330236169706,0.0723214128790286,0.0745816935899299,0.0736051468103466,0.0690514906932693,0.0734786364928659,0.0567347494446654,0.0564646397939391,0.0487731011630115,0.0641651032069654,0.0636341915012543,0.0602815468986612,0.0604954933669259,0.0597607526089642,0.0494972322923922,0.0601556263678027,0.0494250884721212,0.0969756045275537,0.0828356591767422,0.0554073343315549,0.0446863256268345,0.0590181821844901,0.0643566793561583,0.0722214889803529,0.0685663592893004,0.079910710806431,0.0635400907715582,0.0750058832388742,0.0749107924762055,0.071301265613657,0.0643540752057335,0.0735522110196073
TFDP2,0.0455909844175823,0.0412499314606661,0.1104124770186022,0.0387973169868106,0.0632694786958431,0.0349761526232114,0.0592924371422134,0.0663364912498961,0.0400200012704688,0.0629182597966818,0.0338637551458317,0.0654448957115281,0.0286323690957495,0.0726117544830786,0.1115431787834234,0.0489840733072687,0.0394703052274659,0.0690861820689348,0.0716890996100973,0.0454197061321804,0.0670992140279534,0.0477847776620572,0.102293737626279,0.0642038890749005,0.0763416852173193,0.0477561925300268,0.0473110539696282,0.0695301373827543,0.1328415596104592,0.0641372908173909,0.0291165519136404,0.0448444544615571,0.0582229594787886,0.0302445918468797,0.1278676573438373,0.0687367962294534,0.0353845292297193,0.1070455827696452,0.1042403369322923,0.0312096244355139,0.0396747172467418,0.0485644383752578,0.0,0.0778878228925872,0.0692666050660958,0.0467404938184546,0.0482235866059858,0.0996036929101097,0.0351893693531715,0.085355361246282,0.0763599044027338,0.0423600605143721,0.0325792962582485,0.063236494895439,0.0316803623250377,0.0498974009831206,0.0516017134223126
EP300,0.0652907162841787,0.0784415435685007,0.0243286843290612,0.0471160882286626,0.0229441146731699,0.0461049284578696,0.029400125596252,0.0130904478434594,0.0912382947027167,0.0439195903735595,0.0661510042151037,0.0132856758163842,0.0706912916208037,0.0120391060435775,0.0214760310285211,0.0364026909900661,0.0652404310298104,0.0144242033905621,0.0583041477452757,0.084680389399219,0.0598433687666624,0.0486182856673961,0.03620648728449,0.0581331935215148,0.0620604628337096,0.0630969957383402,0.0419591405941831,0.0157388095934837,0.0158333911017156,0.0164840980240951,0.0769203514814534,0.0601854346677921,0.0559859964913777,0.0629037615532324,0.0196078866306746,0.0318833079938761,0.0586445284432145,0.0253793290492434,0.0234253401349026,0.0610693778732226,0.0583111525955179,0.0607255877176093,0.015321981124667,0.0150121330572976,0.0545026139047633,0.0583571119404111,0.0574235798029127,0.0236365529282468,0.0625982707660565,0.0275270564891175,0.0264174606334047,0.0786686838124054,0.0553980981834131,0.0401824110182001,0.0637415986150564,0.0721813769880461,0.0
CCNA2,0.0539399287559672,0.0605546460597593,0.0511262653146421,0.081493026615343,0.0630024545642244,0.0763116057233704,0.0623508836186295,0.0914489476460333,0.0538694163280757,0.0738550358055841,0.0,0.091922266015126,0.0602422695074292,0.0900467566650702,0.0532346737060316,0.0786090604694055,0.0592878851395379,0.0827435120479767,0.048333405141269,0.0512453009064146,0.0514744904294477,0.0709327576260255,0.0759631210908193,0.069385465209515,0.0506162842660509,0.0741881801480166,0.0658513028763524,0.0874313710145192,0.0695206399872055,0.0807266722807386,0.0683437426560724,0.0695295443202327,0.0579722379012086,0.0556153288627003,0.0553921397930998,0.0734806532855334,0.0624451998790144,0.0449933409982629,0.0587608544366535,0.0562920810297955,0.0574365798803599,0.0590388862142991,0.083239066987869,0.0753294643291423,0.0537418413625665,0.0540763520388034,0.0572638414634441,0.0459181503584127,0.0598955713396568,0.0822064265741724,0.0695438789906463,0.059001512859304,0.0672879868261309,0.0784862162351057,0.0603793040093377,0.0654985119586808,0.0580900693044529
CCNH,0.0561358925141041,0.0954566478305881,0.0115169927537237,0.0732412418625918,0.0295197433889176,0.0731319554848966,0.0349140399857281,0.0149070274391766,0.0871808108644458,0.0708475813855619,0.0600872006996335,0.0158573098457311,0.0598967479012108,0.0138342818833054,0.0121214909470817,0.052935431145711,0.0577336030593959,0.0144226299658992,0.0556753435748842,0.0640915220887859,0.0524466052405013,0.0425889939316204,0.0299068659704635,0.0510173232650145,0.0,0.0545443700706302,0.0333530966291386,0.0135970689734056,0.0161012912401389,0.0143090573971117,0.0649643639833046,0.0519247618601935,0.0463969132998627,0.066533066601762,0.0151013953705399,0.0380725217166342,0.0505843015821528,0.0309860271217324,0.0195419201501465,0.0648820660284047,0.0491805387724393,0.0636301135097278,0.0187162906803827,0.0182408395678091,0.0440554552572478,0.060614150676568,0.0480242918703023,0.0288975327567157,0.0578798466534764,0.0257776643557142,0.0210740498328838,0.0680786686838123,0.0578181419315026,0.0412147443953159,0.0600963511096803,0.0635174419785594,0.0616364834501714
CDK1,0.064527167268179,0.0,0.0769177468243697,0.0945460056765788,0.0851455370249924,0.0922098569157393,0.0835129170371641,0.093432415388535,0.0714649632763556,0.0868152003840156,0.0745184557621522,0.0944326249099703,0.0715337913163197,0.0925585565544779,0.0771106624042037,0.0817049488998976,0.0665845702561638,0.0761688938534686,0.0608158609345161,0.0446504475483928,0.0577758306537246,0.0629621406161246,0.0720284965484341,0.0601380497267251,0.0639185702385561,0.063553018732799,0.0804887489654382,0.0757352230696235,0.0613309604366909,0.069227312316413,0.0751979343009475,0.0593944670748442,0.0621485404233388,0.0574681205196798,0.0496277126325628,0.0663754658779778,0.0637070053483746,0.0521283826155991,0.0514820334358099,0.0584461959992273,0.0638774937457235,0.0601633961375804,0.0744093340180739,0.0703310549686666,0.0601811580575579,0.0545444838395519,0.0610741105782369,0.0542109892220963,0.0567630988998528,0.0785408571924259,0.078502864017673,0.0529500756429652,0.0483324309582313,0.0749640550632198,0.048015550854599,0.0580657533773676,0.0497917196962583
HDAC1,0.0624183507712351,0.0777716130942719,0.0194357833602476,0.0486968354003256,0.0285745035847106,0.0492845786963433,0.0347768441808045,0.012616049174757,0.0839859135118328,0.045532717281045,0.0703416201521966,0.0133199235263348,0.0743772455732068,0.011852204716085,0.0180687752187918,0.0349054141175201,0.0639346068941008,0.0160185387716365,0.0606425259234711,0.08137401059698,0.0586180180782287,0.0552833377606445,0.0407079984990438,0.0596346825944096,0.0647209327438935,0.0,0.0395167076319712,0.0253974747791965,0.0126526234451029,0.0259037621127677,0.0718020282212227,0.0623949540825454,0.0575493993046684,0.0585679559275142,0.0190812457676195,0.034182083838275,0.0640308879328727,0.0190407481511144,0.0275021645316832,0.0575569308040767,0.0610939429147821,0.0581120739137487,0.0187295582960489,0.0161350921300484,0.0538652092556608,0.0549776172305214,0.0602418706347354,0.0178275253353955,0.0648535482345093,0.0259411529364209,0.0182413216794462,0.0726172465960665,0.0707702310751055,0.0400978575697117,0.0723867969397396,0.0638365656265837,0.073523377653755
HDAC2,0.0736989866558485,0.0399418278765602,0.0764264187684061,0.0577636527246485,0.0963349247459862,0.0524642289348171,0.0923990976943565,0.0720589028012943,0.0,0.055330752089154,0.0863458007892327,0.0711036260983788,0.0852439961269668,0.0715001623915864,0.0765620635751171,0.055972546087963,0.0453736690086996,0.0594789552143762,0.0434637713048469,0.0455867141265692,0.044248262885268,0.052120198604468,0.0468131594291477,0.0468910651367302,0.0456002705082321,0.053747957006127,0.0592051984234787,0.0615450263632193,0.0478024175421307,0.056941320761441,0.0495698847958214,0.050326222938907,0.0657439601098254,0.0661094131153971,0.0717175321667809,0.0870150277804089,0.0714158950086551,0.0586872566844057,0.0743602498478723,0.0672879948579385,0.0713985600725164,0.0707889192959819,0.1033460999050848,0.0963758035413701,0.0637403970091957,0.0643656569796155,0.0688296959717303,0.0603947377303426,0.0619385894302365,0.0876760875892398,0.0792561330944773,0.0771558245083207,0.0649741480310576,0.090975970640382,0.0597977869309872,0.0790640797177735,0.0599760430227141
