,CDC6,CDK1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,SMAD2,BUB1,CCND1,ANAPC5,YWHAQ,CCNB1,CDK2,EP300
MYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD2,0.0410514271132731,0.0428738216458619,0.0434131736526946,0.0429121924889172,0.1886564621065563,0.1212734681796608,0.0846864731242909,0.0665972575582258,0.0401459882951877,0.0381558028616852,0.0413254902501958,0.1632925221399697,0.0455762259106282,0.0442237316762026,0.0670019847462593,0.177661715412679,0.119449943357925,0.085338213461266,0.0464158718454418,0.0404656663363126,0.106498035474832,0.118395944780904,0.1199337684333563,0.0376741954326675,0.1145766886657885,0.1039868262616709,0.0541441603866457,0.0408949112796362,0.1019104399472465,0.0448989769442362,0.047155297900914,0.10068759686977,0.1304297267457257,0.0990791998446098,0.1465072198153433,0.0374345950120338,0.1355491782721511,0.046656298600311,0.1071070660615728,0.1281140307791732,0.0591851147454295,0.0,0.1102471202589942,0.0473484840252275,0.0362808312578294,0.1265430312002869,0.1256648407230007,0.1166754704915998,0.0599569848411361
TFDP1,0.0535743945099373,0.0480040161135245,0.0523952095808383,0.085564424889889,0.094789785776245,0.089676615136991,0.038926352781864,0.0605868816196881,0.0784354809454937,0.043322734499205,0.052794017192679,0.1098792802745468,0.0403932624503179,0.0616407804567717,0.064075204840467,0.0859333858298933,0.0924318588246371,0.0866258297227971,0.05825706389451,0.0791248922504853,0.1370414034241457,0.1061935507268981,0.0,0.0797736582785208,0.1462463905855858,0.1222781351357591,0.0648789919481173,0.0900608371303424,0.1638031033084601,0.0981054630045321,0.0586793721598965,0.1171578705086679,0.1379593077723899,0.1106405573653193,0.1378869046550901,0.0611571392175735,0.1213495024385927,0.0544323483670295,0.1100591292623767,0.1057472932486504,0.0761194136454672,0.1444356942381719,0.1480430257975604,0.0553539523319517,0.0963228921032014,0.0885132854780366,0.1314994464910519,0.1133576676736633,0.0763246056292747
TFDP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP300,0.0657128632592956,0.1005414756129163,0.0658682634730539,0.0641911565714842,0.0161385124924678,0.0513202186109929,0.0568209684135111,0.0962268143074317,0.0679811487068692,0.0922098569157392,0.066174336849078,0.0190362624246472,0.0668921056712019,0.064350168483327,0.0525776975326491,0.0175757431751934,0.030167417857319,0.0638904783717743,0.0722834870968188,0.0536956034782601,0.0197949264508238,0.0406115700657649,0.0195863931107418,0.0929213871046713,0.0252632373200296,0.0329991388597572,0.0763868604986645,0.0509874009065954,0.0222603404976326,0.0788966834176105,0.0711561622164443,0.0398565142177118,0.0305111576780327,0.0244088032876476,0.028345645415145,0.0465537282371068,0.0270004380521339,0.0653188180404354,0.0348007473099867,0.0155632113696866,0.0899863567000744,0.014200234108745,0.0227240334963818,0.0645898553494,0.0690663799832367,0.0126232727286094,0.0229972382617406,0.0132743002210724,0.0
CCNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNH,0.0747229072061134,0.1056532725196402,0.0748502994011976,0.0824278005811346,0.0167266072722725,0.0338931629534158,0.0652141801317106,0.1224118789210764,0.0776528596253611,0.1017488076311605,0.0752453557706703,0.027053156668895,0.0804567416205222,0.0571378820969345,0.0592519058173882,0.0135296424674376,0.0430491911973857,0.0640060920204394,0.0726030465586851,0.0631930479187369,0.0180899281955725,0.0389002455111383,0.0181362499756733,0.0,0.0313997086491546,0.031849644984089,0.0695761462112813,0.0571697780049166,0.0276700604929568,0.0785858812491704,0.0709861030371897,0.0398908357355095,0.0214758598706989,0.0425175384121532,0.0244963877338877,0.0619739203482552,0.022466261389121,0.0835925349922239,0.0315412139661565,0.0268405957184105,0.0909954747582931,0.0196219127711556,0.0227232112319816,0.082598849643245,0.0576054349299225,0.0205011618930495,0.0186312065718338,0.0255034204722077,0.081756403834394
CDK1,0.0889767943327147,0.0,0.0943113772455089,0.0597130753280624,0.0221766354629567,0.0323844023719723,0.0829172623453552,0.0927933765421042,0.0862424226334406,0.0779014308426073,0.0911140201498915,0.0235277814210229,0.0914097322273501,0.0501435928034144,0.0852125460591333,0.017861309937471,0.0516225190692405,0.0358480119858593,0.1033307210419924,0.0551099569545845,0.0317844310185055,0.026537153613459,0.0289837734430812,0.0730219729803225,0.0367820041295606,0.0178252195053263,0.1123808047874151,0.0503113399598886,0.0324218011240831,0.0681796098357675,0.1018606112715853,0.020339441228547,0.025251929591897,0.0354412391546074,0.026542010505196,0.0591821269284011,0.0231953279331675,0.0762052877138413,0.0300376821237619,0.0240408672414041,0.0846526556976319,0.0173062676524489,0.0215422589650866,0.0757918706067187,0.0628310878484702,0.016913489227393,0.0200996070248608,0.0208232505356882,0.0884565118473155
HDAC1,0.0131960698591739,0.0133497954888382,0.0134730538922155,0.0786571958771015,0.026903468107526,0.035566162495808,0.0096031264720318,0.0433350064075248,0.0329066958410749,0.0131160572337042,0.012700000556235,0.1413301774856069,0.0045235125408847,0.0342430247005119,0.0320487667011603,0.0624937520050166,0.081884872515385,0.0769732940239978,0.0237692354248604,0.0352588059367116,0.0480771379880606,0.0324220718973581,0.0767552779052905,0.0332621609532882,0.0,0.1053986961998069,0.0379476114812391,0.0459206072403224,0.0963483975511807,0.0505766842137549,0.0238592084594639,0.1037754230886643,0.0277827582424327,0.0981904962272657,0.0567339544731098,0.0362548341351006,0.065935652234409,0.0268273716951788,0.0834868572014428,0.0391639377912383,0.0190701688119622,0.1296413694713583,0.1119119391167283,0.0234029125808668,0.0270546439224848,0.1099930553265739,0.0438025245115778,0.1064486588126005,0.0324070870973239
HDAC2,0.0939247068992728,0.108405398717828,0.0958083832335329,0.1060188173833851,0.1078576533499926,0.0793170513464962,0.1129205044921683,0.0,0.1134849953892307,0.0985691573926868,0.0944801790125316,0.10873598401229,0.0796523770687332,0.0879229215173752,0.0990948729350128,0.0807394202287174,0.0865803002539733,0.0633673933778769,0.0818810426264592,0.0844311448897464,0.0746972157456622,0.1092110875547004,0.0943436727327388,0.105229605469956,0.1272920707510238,0.098755867533181,0.1239529655804417,0.0926905769242402,0.1277829083724295,0.1205181850050188,0.0831635834470685,0.0959430590706391,0.0669746426649819,0.1082569022835581,0.0852410262054809,0.0527533620849272,0.1139897063934723,0.0855365474339035,0.0941301848139609,0.0782596951569666,0.0847515537994182,0.1542842761561619,0.128705066423795,0.0880446542231212,0.0661877132527418,0.0938028253435879,0.0790934306247605,0.1199359489405981,0.1244297921980719
MAD2L2,0.0747581014635782,0.0574543569377502,0.0763473053892215,0.0418895720345765,0.0136353392475585,0.0255100912591887,0.0617907315477156,0.0590867397690834,0.0728598999389016,0.054054054054054,0.0757272079735557,0.0186910887511974,0.0748365443755107,0.032463837498427,0.0627907523204769,0.0141501419940741,0.0584831010196534,0.0455573405500276,0.1000278175352086,0.0340399562948767,0.0251081091834985,0.0221243892405918,0.0256373569467993,0.0646773586987175,0.042781158409213,0.022296538661825,0.1060911324925033,0.0305621158726372,0.0377082682140465,0.0521158969835696,0.0978716863381861,0.0267323259315587,0.0222367931630678,0.0457272299622303,0.0219997388099993,0.0677649160586152,0.0229635435358985,0.0855365474339035,0.0294950690239203,0.0254238307880326,0.0,0.0232384258020028,0.0211466347748944,0.0837067973913408,0.053186357004346,0.0209256661000743,0.0177273894399434,0.029872442060129,0.0764431817355229
MDM2,0.0613238906127037,0.0656223720101899,0.0583832335329341,0.0469075410421426,0.1775170079405062,0.136073279505008,0.0819858968640027,0.0748107171346191,0.0608499055129524,0.0588235294117647,0.0600925655922399,0.0,0.0647778717519748,0.060260249266019,0.0643762249986049,0.15816389724515,0.1135447130864737,0.08758640523875,0.0513232316000898,0.0600278959318556,0.1006569126636881,0.1607454984055449,0.1174240711135451,0.0570672132929008,0.1191183291212237,0.1105932148360126,0.061400223726553,0.06101117799777,0.1077105441180482,0.0679974654613945,0.0522240267409997,0.105825780011568,0.1197702017996961,0.0893732140598691,0.1242968359716677,0.0383860760767794,0.127819922151016,0.0377138413685847,0.1004586350101532,0.0983023040946453,0.0630683173023941,0.1252923620393272,0.0973098822767553,0.0385373327236113,0.0424712583280016,0.1277124482224429,0.1173094899424129,0.1082913668225028,0.0418496583254733
PLK1,0.0717119651823159,0.098778384522033,0.0733532934131736,0.0755660657101185,0.0143884027593621,0.0376063685153558,0.0681689860140764,0.1006893828174916,0.0,0.0937996820349761,0.072634705273883,0.0277674119193784,0.0786086233836996,0.0587222091213752,0.0619020342407185,0.0185861614584565,0.0449082122848796,0.0479262083151721,0.0864750310898347,0.0520862631288661,0.0248072004104221,0.0288117748178157,0.0248500357607383,0.0734883027964361,0.0380581397061482,0.0236324285454895,0.089117379705666,0.0481239268689375,0.0335503106678005,0.0657732649499175,0.0846721196052213,0.0274076019518078,0.0226061888876826,0.0412488754455198,0.027431588096849,0.0594701797680202,0.0254508057281511,0.0808709175738724,0.0326730405306362,0.0264838082166971,0.0798252601118409,0.0154800822909719,0.02232988938211,0.0798673067359783,0.0464783613602926,0.0177041923537269,0.0190230351279397,0.0245684196536301,0.0702726257149279
