,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.0696969696969697,0.0588067793328914,0.0699553400873401,0.0,0.0933921236566165,0.0542702985565855,0.0833398525880042,0.0540017183151622,0.0563064282605045,0.0631666180124424,0.0736,0.0555820723256779,0.0732465102777549,0.0548298342533747,0.0697592187426345,0.0542601349326196,0.0491832599516479,0.0666164374805337,0.0502283105022831,0.0666666666666666,0.0502283105022831,0.0666970673555648,0.0514576523905101,0.0710965800510387,0.0531317076239641,0.0734198620588637,0.0544074552023605,0.0689606456699999,0.0536644288903797,0.0666915166454452,0.0587681553252617,0.0722495894909688,0.0579155049769355,0.0652228008445313,0.057864147290776,0.051220559575059,0.0613087735025978,0.0629338809998103,0.0579268292682926,0.0629575402635432,0.0579883696910535,0.063011502905862,0.0621864417619166,0.0649510022480579,0.0618303636807905,0.0510738880130291,0.0589905218770658,0.0629575402635431,0.049398367515415,0.0653566160179295,0.0494590417310665,0.066066066066066,0.0492827027290461,0.0661694734912804,0.0493462765352387,0.066066066066066,0.0408478849658855,0.0717781402936378
SMAD2,0.0484848484848484,0.0624916338903697,0.0471444799373737,0.063932271528118,0.0246360808424756,0.0585935874510738,0.0318338359560023,0.0595161218729233,0.0930165857641722,0.0481312711259702,0.0512,0.0550653653686583,0.0509684866095978,0.0571072270919296,0.0484475428579537,0.0586257815618051,0.0565596295353946,0.0576631875391555,0.0578386605783866,0.0575757575757576,0.0578386605783866,0.0575222579239743,0.0577428447049248,0.0613614591328164,0.076572527408847,0.0573166370090975,0.061710666270344,0.0551192060253279,0.0617064971940417,0.0575328392889637,0.0242572194731311,0.0623973727422003,0.0639789654604913,0.0554638900586038,0.0637063554144646,0.1157218838383295,0.0678089692516203,0.0690473396853887,0.0640243902439024,0.0717423133235724,0.0642195978050547,0.0716194493668394,0.0690214594260963,0.0746905076298467,0.0,0.1144263948828593,0.0652399152027112,0.0717423133235724,0.074190373781239,0.0574476330010154,0.0741885625965996,0.0585585585585585,0.0924389855140378,0.0586893114490837,0.0741898234777059,0.0585585585585585,0.0999110745960227,0.0636215334420881
TFDP1,0.0454545454545454,0.0775988128156666,0.0448249682220946,0.0760228391666981,0.0371896373686763,0.0718510736965446,0.0568526364736548,0.0718292762652094,0.036699871066895,0.0843669485991395,0.048,0.0723911032127108,0.0478742300500308,0.0718970065862026,0.0461550759291001,0.0718490439891673,0.0597936204810463,0.0501065223926739,0.0578386605783866,0.05,0.0578386605783866,0.0499497018895827,0.0572970728491844,0.0532840498254185,0.0,0.0528992252357639,0.0612708859929225,0.0520659656409097,0.0616230263641313,0.0499580829900925,0.073556510390711,0.0541871921182266,0.0579674352928421,0.0685621396470544,0.0582050899900473,0.0438746894787539,0.0612302599491791,0.0567896911582141,0.0579268292682926,0.0585651537335285,0.0577418511726156,0.0586773376810957,0.0615224103029156,0.0607290817479882,0.0620612059446031,0.0425938098752912,0.0565637036866664,0.0585651537335285,0.063370362220403,0.0561047589389672,0.0633693972179288,0.0555555555555555,0.0468895800888156,0.0555279272955651,0.0633707091358266,0.0555555555555555,0.0421113272716943,0.0603588907014681
TFDP2,0.05,0.0490506009092023,0.0491515786718155,0.0486437257379879,0.0657517043925229,0.0454514268830334,0.0555199294042726,0.045585334666519,0.0414027810769794,0.0537754564739002,0.0528,0.0460180771132652,0.0526717628547293,0.0455795011600343,0.0508246885003453,0.0454531020952101,0.0799301627207401,0.0515463204126386,0.0791476407914764,0.0515151515151515,0.0791476407914764,0.0515031260555989,0.0789863333960526,0.0549199462543819,0.0689271462157613,0.0564341326835869,0.0843009690337296,0.0565682838929693,0.0843960753387754,0.0515056578232913,0.0945093392271359,0.0558292282430213,0.0609782310311112,0.0555210606687386,0.0610005846776341,0.0351195576067144,0.0645131356396585,0.0556993605507515,0.0609756097560975,0.0527086383601757,0.0609722246810026,0.0527524348647996,0.0652552802373504,0.0,0.0651475263283663,0.0363299525889838,0.0612088676890442,0.0527086383601757,0.0509937858340175,0.0659347328529112,0.0510046367851623,0.066066066066066,0.0425168524887447,0.0660877108138443,0.0509854339457006,0.066066066066066,0.0386536870124921,0.0717781402936378
EP300,0.0621212121212121,0.0506093738215086,0.061021598128666,0.049199407674994,0.0330651207215008,0.0469214979373741,0.0376063097051067,0.0468491426511243,0.0947823640982319,0.0452655070271389,0.0656,0.0464068997692676,0.065256796618045,0.0468159964977591,0.0618119498543699,0.046921171928857,0.0601166698440818,0.066327462798436,0.0608828006088279,0.0666666666666666,0.060882800608828,0.0668366912957943,0.0605418548272122,0.0711690405760888,0.0789719863125227,0.0737461291975823,0.0647796806816512,0.0548889540456547,0.0649300241142971,0.0668047764265399,0.042625691898628,0.0722495894909688,0.0533513042871433,0.0367353240436367,0.0533252411143403,0.0878331149020248,0.0564541395481472,0.048642205761032,0.0533536585365853,0.0571010248901903,0.0533560200229396,0.0571385993456313,0.0570782177972425,0.0536949686302466,0.0569759528834079,0.0833183049818711,0.0528698897570975,0.0571010248901903,0.0741737798867644,0.0791769829270516,0.0741885625965996,0.0795795795795796,0.0947179161382016,0.079594394294755,0.0741584564773473,0.0795795795795795,0.1011113581439325,0.0
CCNA2,0.053030303030303,0.0840733299971266,0.0521552794379594,0.080679734075721,0.0295370680706327,0.0777328329747711,0.0345871729372323,0.0772794273857146,0.0867567350507766,0.0776104671547796,0.0,0.0778117552128354,0.0557041495630277,0.0779988489277513,0.0527532830005797,0.0777216097055326,0.0553367064917118,0.0621562273526599,0.0547945205479452,0.0621212121212121,0.0547945205479452,0.0620947082121286,0.053772661490191,0.0662217928004424,0.0713076412657503,0.0628277203359961,0.0577936366165759,0.0582551688888375,0.0583734731642867,0.0621001819925886,0.0385163577990372,0.0673234811165845,0.0564141738277514,0.0341382651883166,0.0564681029311829,0.0790901173177139,0.0596588068195764,0.0440083235883663,0.0564024390243902,0.0468521229868228,0.0563412904909867,0.046794088831424,0.0601673072357986,0.0477971382903945,0.06029582688622,0.0774797427780206,0.0553326998198902,0.0468521229868228,0.0510420687080615,0.0644509488724949,0.0510046367851623,0.0645645645645645,0.080939883473561,0.0645469097010565,0.0510737183191404,0.0645645645645645,0.091423752711472,0.0701468189233279
CCNH,0.0575757575757575,0.0826266121276566,0.059053371290254,0.0797142680062603,0.0479877377776553,0.0762715338751739,0.0659880395784502,0.0758646135039994,0.0487189983068652,0.0905198567000977,0.0607999999999999,0.0777996509646921,0.0604054676493861,0.0767960397002526,0.0570400819118932,0.0762574115993315,0.0452142142257049,0.0573857244693771,0.045662100456621,0.0575757575757576,0.045662100456621,0.057685062481345,0.0464161982791457,0.0614428298136201,0.0395953744459144,0.0,0.0492092198721565,0.05376229160393,0.0487543932053302,0.0576625692081258,0.0605157773033335,0.0623973727422003,0.0533659989034335,0.0713135430664517,0.0534420363112869,0.0439359151716484,0.0564338576784411,0.0648411678143509,0.0533536585365853,0.0585651537335285,0.0532978901043404,0.0585365420588894,0.0569721743255908,0.0677848411790595,0.0570489589432956,0.0469511587801382,0.0531140865648317,0.0585651537335285,0.0633869561148776,0.0622452227937761,0.0633693972179288,0.0615615615615615,0.0556729474369478,0.0615000838306889,0.063402550962931,0.0615615615615615,0.0532288232280793,0.0668841761827079
CDK1,0.0696969696969697,0.0,0.0679315683886185,0.0767616309134572,0.0397324766320184,0.0733167455738638,0.0499486565632482,0.0731650532459573,0.1010518379122576,0.0705480692634775,0.0736,0.072556977301239,0.0732584738807692,0.0731851108733367,0.0695999041599762,0.0733151753963908,0.06013562618804,0.0604934311631934,0.060882800608828,0.0606060606060605,0.060882800608828,0.0606574735766292,0.0605480705138424,0.0646462468884542,0.0819145581297508,0.063740015556484,0.0647826177034781,0.0538333159588579,0.0649300700940779,0.060648103908748,0.048687453489313,0.0656814449917898,0.0594344054212301,0.0370413126340128,0.0593253176439525,0.0761615506099415,0.0629273945156845,0.0492034793223826,0.0594512195121951,0.0527086383601757,0.0595181599485493,0.0526486280600148,0.0637785944869274,0.0535019305056392,0.0634240048275196,0.0747253973878993,0.0595263669099933,0.0527086383601757,0.0619054079855067,0.0550108606440585,0.061823802163833,0.0555555555555555,0.0775791069058264,0.055603759947489,0.061976077567165,0.0555555555555555,0.0907592414482931,0.0603588907014681
HDAC1,0.0651515151515151,0.0524829912574259,0.0667719720357026,0.0506324979818051,0.086465963209789,0.0484056310998403,0.0783117862384749,0.0481285175303131,0.0453991661996832,0.0575016224984941,0.0688,0.0497301714398675,0.0683893213747594,0.0489850739733831,0.064797467452054,0.0483952248986549,0.0620552136073374,0.0636815084045569,0.0624048706240487,0.0636363636363636,0.0624048706240487,0.0636132330147017,0.0628545054682529,0.0678382867544432,0.0553449448090559,0.0676851611293123,0.0,0.0668014673880643,0.066594093022397,0.0636178232627502,0.074329662883624,0.0689655172413793,0.0548856498921433,0.0684865349586406,0.0549368113751515,0.0395490398781455,0.0580540747789944,0.0602710255477748,0.0548780487804878,0.0541727672035139,0.0548497320206262,0.0541309180976846,0.0586702551653954,0.0617115001789845,0.0586567825635685,0.0426604759874244,0.0549286676789416,0.0541727672035139,0.0633455046855662,0.0504196160707632,0.0633693972179288,0.0495495495495495,0.0469821924701535,0.0494415746162529,0.0633258349245403,0.0495495495495495,0.0400757534732369,0.0538336052202283
HDAC2,0.0787878787878788,0.058489147794578,0.0795627814183635,0.0574982742828171,0.1036745430795179,0.0542481376758558,0.0893390105957274,0.0543173888907202,0.0,0.0563654510495404,0.0832,0.0540349624439984,0.0827810082435136,0.0541921356269569,0.0787767677560844,0.0542504107667467,0.0396277772690629,0.0409962507943899,0.0395738203957381,0.0409090909090908,0.0395738203957381,0.0408687686949122,0.0400280724429947,0.0435969758464887,0.0345198174840129,0.0446040916879843,0.0425014420218278,0.0483541659904171,0.0422360195538152,0.0408766248683719,0.0455267580368785,0.0443349753694581,0.0686140454385345,0.0846926741858634,0.0687131036489905,0.0556317480391887,0.0725566779670312,0.0735629830679918,0.0685975609756097,0.0732064421669106,0.0685277733989038,0.0732143279895171,0.0732333909299156,0.0785056311492093,0.07335059856342,0.0563946565390239,0.0681623699043233,0.0732064421669106,0.0541358066871768,0.0688557092955166,0.0540958268933539,0.0675675675675675,0.0313295726830176,0.0673738082812972,0.0541730902594559,0.0675675675675675,0.0290137093895464,0.0734094616639478
