,CDC6,CDK1,WEE1,MYC,SMC1A,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,CDC7,BUB1,ANAPC5,ANAPC13,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.0693085110550926,0.0590616740834397,0.0701778599351307,0.0,0.0589647100833717,0.0477790806926529,0.0376901972810856,0.0791685493675608,0.0411227139313703,0.0595007408493668,0.0703592814371257,0.0489803035873908,0.0923512650418079,0.0559681070052973,0.0363636363636363,0.079554062019496,0.1201560027814705,0.0303030303030303,0.0487062404870624,0.0879801525268997,0.0965469859064045,0.0938880249349394,0.0576844441542003,0.0253461882102134,0.1111490203621839,0.0665315427820522,0.1076076207431496,0.0933992893627342,0.0621570895429583,0.035246607991704,0.0791895557543771,0.0661882173209708,0.0733532934131736,0.0500914233887437,0.0636167229827371,0.0987637848986666,0.0912393724436802,0.0763927630238042,0.0731026723517318,0.0501598990333338,0.0921257133844519,0.0656785349166935,0.0627697562989298,0.0684292379471228,0.0399427557438316,0.0686321921219576,0.0912129309571191,0.0459304099444111,0.0865594722999684,0.0475322583498641,0.0708203221093617,0.0560578059611437
SMAD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFDP1,0.0693806860538803,0.0673453390404574,0.0701803782650359,0.0787929660376262,0.070441197719868,0.0583696376274312,0.0637255507784005,0.1256644597606094,0.0695291556909487,0.0631670136827587,0.0703592814371257,0.0696707274134888,0.0652845827077286,0.0664627827041148,0.0454545454545454,0.1001148184388968,0.0685286500676039,0.059090909090909,0.0532724505327245,0.1016234579833906,0.0611774268491568,0.050304724854412,0.0554823104125623,0.0,0.090816437095167,0.0722043374531704,0.0582716725731786,0.1061499964881542,0.0802428009572863,0.0447411784769297,0.1312594542268606,0.0601432633377699,0.0763473053892215,0.0352169146855853,0.030141518353174,0.0823254813586993,0.0791079799299125,0.054522867750907,0.0765461729548013,0.0358956886749029,0.0913053589632063,0.0732754573900903,0.0778522065294579,0.0637636080870917,0.0668984421669965,0.0624241096092486,0.0789798739592598,0.07315711768918,0.045025259847479,0.0389306540859115,0.074197380051417,0.0702008015299367
TFDP2,0.0619359103517207,0.0775209658053746,0.0639506606011389,0.0722519608455178,0.0549330681933275,0.0748536902481716,0.0558638232692095,0.0494204088703223,0.0609514459762509,0.0725790257895407,0.0643712574850299,0.079075320602874,0.0484754329847237,0.0674000022396852,0.0606060606060605,0.0461607209173896,0.0486258099126842,0.0606060606060606,0.0700152207001522,0.0261678364442657,0.0484369813811251,0.0422114495734767,0.0727181308771618,0.0706364513263636,0.0439540408443871,0.0534798741354203,0.0438800884135064,0.0269436343473227,0.0639943126395978,0.0625739959943039,0.0274400952314454,0.0468047502555956,0.0793413173652694,0.0689533142957894,0.0854548860348486,0.0364136196257967,0.0465679916582303,0.0605472276817477,0.0795804545935048,0.0740197993609432,0.0510494886811957,0.0,0.0868437101522868,0.0668740279937791,0.0886058737066245,0.0670036247429707,0.0465584536533565,0.0787259647184587,0.0598217337912982,0.0667353403198922,0.0462250784525738,0.0828523316249359
EP300,0.0578532133350994,0.0777846421620954,0.0570888677516055,0.0612572112626238,0.0605665492603031,0.057584960782337,0.0574338908693025,0.0292756887994324,0.0626645025646795,0.0825339849076591,0.0568862275449101,0.0903580809897263,0.0317114388058447,0.0737969849247625,0.059090909090909,0.0324259172794852,0.0481741340718277,0.0666666666666666,0.0745814307458143,0.0460248970504169,0.0441031342700959,0.0658508755658287,0.0831606885981796,0.079047679482772,0.0443289748448653,0.0756370734500738,0.0403396401440073,0.0473771427417755,0.0672725181723065,0.0674333124712682,0.0260995845371084,0.0774141944311342,0.061377245508982,0.0744392768757087,0.0602220354154807,0.041988186268455,0.0459540670072348,0.0537459654649431,0.0615028205993231,0.0723374884750141,0.0494335374718592,0.0631975163258336,0.0808673246157633,0.0544323483670295,0.0657272868565337,0.0549619275280009,0.0460610290048025,0.0594836666049513,0.0665156105229407,0.0674259687225641,0.0504197478422714,0.0
CCNA2,0.0807812932456001,0.0671954525725953,0.0796279643924296,0.0708495327965979,0.0855546072952034,0.0554133464525679,0.0902380299735692,0.0395816017408057,0.0984561758766845,0.0,0.0793413173652693,0.0695060070529481,0.0415548687355884,0.0528372780344953,0.0954545454545454,0.0495757771918287,0.0389696629195788,0.0787878787878787,0.0624048706240487,0.0389551733969185,0.0406754468139398,0.0579415516947274,0.0644340095380381,0.0909489164236857,0.0426904142650634,0.0765836743166233,0.0388321690778596,0.0400721189601158,0.0585545328645056,0.0801449701661465,0.0254564967995808,0.0669114852140364,0.061377245508982,0.0817426039310979,0.1062057442746975,0.0568862696052829,0.0626414293161585,0.0648594725655062,0.0613247126279301,0.0825867202059616,0.056276577690226,0.0763118757676885,0.071919066837504,0.0668740279937791,0.0783555151360379,0.066190561133405,0.0629587296581744,0.074920551542157,0.0507926608288687,0.0698517990704379,0.0537654319367453,0.0632038845804048
CCNH,0.0651925947590268,0.0789893094221438,0.0645386144096369,0.0823103480479288,0.0637791207484501,0.0619028750538939,0.0426332556558975,0.1165277940108132,0.0465159458632037,0.086128885269785,0.0643712574850299,0.0714328259733431,0.0869283842422476,0.0632335061094259,0.0393939393939394,0.1135915299626915,0.0928056942923025,0.0393939393939394,0.045662100456621,0.0822494116451915,0.0894235032582508,0.1038836218015798,0.0510282823709671,0.0394704556733227,0.0,0.0730589968417447,0.0931542891435639,0.0871966921916813,0.0549143341277915,0.049074610999959,0.1043638339873424,0.0733306898096844,0.0688622754491017,0.0352176288269933,0.0511847748640117,0.0826265067901856,0.079443217455596,0.0738763297541197,0.0688709386688585,0.0364167635556039,0.0795746214355532,0.0587767832038748,0.0522864679611805,0.0668740279937791,0.0358170716818598,0.0662331713112612,0.0794720860546624,0.0432522198825026,0.0589176158488878,0.0455365768182553,0.077872622854187,0.0630127713972875
CDK1,0.0698659143073311,0.0,0.0702605517259686,0.0832258283676126,0.0752804771492505,0.0620173004404415,0.0554324151766936,0.117465752337959,0.0604807487431241,0.058033257883937,0.0703592814371257,0.064422764957998,0.0687176770963209,0.0671987615629982,0.0439393939393939,0.0843878022565713,0.0657056717602837,0.0439393939393939,0.0384322678843226,0.1056662627742625,0.0580438370288253,0.0577497456477373,0.050085888980668,0.0302295349882963,0.0655684107052195,0.0683800471872306,0.0480722220034506,0.1105108186086979,0.0764058163417927,0.033109605798595,0.1209151647291564,0.0602233187541339,0.062874251497006,0.036706220170808,0.0425658303074525,0.0838058658140361,0.0836162989715699,0.0679162917656248,0.0629942932639883,0.0375079400278981,0.0897316792939496,0.0850646766007045,0.065872045131712,0.0730948678071539,0.0616801834817968,0.073108224059744,0.0836973292772867,0.0845304431163761,0.0489371119217563,0.0391705735564828,0.0651241069219191,0.089718506078005
HDAC1,0.0471342753043338,0.0642627187904528,0.0465362243286755,0.0570140835073938,0.0530608518653812,0.0695751087356157,0.0563196479076446,0.0452696169358946,0.06144878341573,0.0680720209527616,0.0464071856287425,0.0713166914018392,0.0311674219670311,0.065737445844209,0.0606060606060605,0.0458002231642029,0.0457644424374841,0.0803030303030302,0.076103500761035,0.0350486487658848,0.0532625622698411,0.0664250607717682,0.0830275950597351,0.0928462474686963,0.0461466237179559,0.0,0.0454962699333251,0.0357848233952091,0.0770427380702579,0.0792182208781664,0.0280010887180283,0.0651589005433391,0.0703592814371257,0.0586245156525452,0.0569103073103125,0.0426365573942688,0.0299600494288553,0.0584537053132583,0.07074458036639,0.0589047406162143,0.0504645639761068,0.0720231451641766,0.0718590945082175,0.0653188180404354,0.0869303002770884,0.0637938111595256,0.0297131087939844,0.0691374861738984,0.047497411843489,0.076689732317619,0.0471147965493334,0.0735264887082218
HDAC2,0.0493813662345877,0.0457074275598072,0.0506019634425626,0.0446606592923731,0.0410146138487716,0.0555336160994078,0.0653602356568536,0.0,0.0713127143739461,0.0536878082600345,0.0508982035928143,0.0428918459433947,0.1131804291699008,0.0522050260538442,0.0636363636363636,0.0830027158137355,0.0393484359169434,0.0803030303030302,0.0684931506849315,0.0734011902113311,0.0895268156896842,0.0292404385636944,0.0795092292091552,0.0945048439588533,0.1036581919226178,0.0493814763194648,0.0990875901499343,0.0765138245227683,0.0509957006329281,0.0836027609735054,0.101643593710448,0.0390011433754881,0.0314371257485029,0.0776097515219983,0.0745850764173563,0.0829079090029937,0.0799833207566785,0.0461529114222773,0.0312868695416084,0.082130369189346,0.0772005291107794,0.0376815790378351,0.0164819463296631,0.0373250388802488,0.0464969769180916,0.0394171497025431,0.0800522105261476,0.040286034026671,0.0589098830926495,0.0771812999806524,0.0805771758560031,0.0412117812246067
MAD2L2,0.0600902185455252,0.0572834162198033,0.0599305485435098,0.060660665474161,0.0561497159960718,0.0591880209374325,0.0375116916712877,0.0889824656443837,0.0409279514823408,0.0598422368709475,0.059880239520958,0.0508481522860019,0.0916914776962548,0.0541270113347371,0.0393939393939394,0.089726342458373,0.1242782389877494,0.0257575757575757,0.0334855403348554,0.0778730515998424,0.0916170541890401,0.0755824809688613,0.0472512146231564,0.0175637293425749,0.1220522231366721,0.0589049583621577,0.1120261423717245,0.0828088294863882,0.0637316671128601,0.0332249134000688,0.1086659512371776,0.0576680323694706,0.0658682634730539,0.0595189787672526,0.0584190806851252,0.1052624008775416,0.0795367162314616,0.0859171582895845,0.0658357046231796,0.0590200623340578,0.0,0.0662955618737465,0.04779591275036,0.0746500777604976,0.0379411999787957,0.0743515647228763,0.0795522647853358,0.0543470644732515,0.0583010127599903,0.0465831813093855,0.1002041536397589,0.0536620466021822
