,CDC6,CDK1,WEE1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,PLK1,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,CHEK2,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,ORC5,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.1375756623314662,0.0895471015480273,0.0523952095808383,0.0,0.0566949442663073,0.1130404646242723,0.0503120262833129,0.0457588813995892,0.057642613158035,0.0445151033386327,0.0523952095808382,0.0450702094941301,0.1209906163451231,0.1061285296877306,0.1279492255749782,0.0972538430442774,0.1405145319468602,0.0928624815337077,0.0546021840873635,0.1364514129814129,0.0546021840873634,0.0516498670428306,0.1204147829636919,0.0554824811180099,0.0670475254768412,0.0667458143209323,0.1521463876716277,0.108361926726617,0.1602392551930594,0.112029154317734,0.1250265041899745,0.05757357996578,0.059880239520958,0.0473036647330784,0.1100027411776598,0.0526744836778065,0.0606896982646318,0.1268243924079086,0.0599463143516507,0.0487847846286742,0.059880239520958,0.0537214279738173,0.0649059799231662,0.0535512079167827,0.0649209755453791,0.0486003110419906,0.100854996364581,0.0548476572902461,0.0831797924268416,0.0423600605143721,0.0576442957701163,0.1221723205950554,0.0630768220301157,0.0359136001199772,0.0542245621622177,0.0423600605143722
SMAD2,0.0355125374530809,0.0454934765558326,0.0838323353293413,0.0864049818087427,0.0789050359968386,0.038703420062867,0.1201746313109458,0.08233534526557,0.0925087585668744,0.0858505564387917,0.0838323353293413,0.086759454072998,0.033925662066123,0.0286349064933815,0.0350353142831048,0.0644963827037455,0.0479613769323584,0.0256333870942455,0.079563182527301,0.0143548181232265,0.079563182527301,0.0781414251253043,0.021803969131714,0.0849269480164858,0.0632131765718783,0.0720120832207599,0.0276356110916102,0.0195056753847561,0.025850848402603,0.0272520709748114,0.0404463396121316,0.0811413311471928,0.0868263473053892,0.0864515022698847,0.0257232292930297,0.0831099280297896,0.097587830580504,0.031789177320744,0.0865902898118459,0.0931377733945344,0.0868263473053892,0.1004997112919312,0.0928334468922225,0.0,0.081717981110643,0.0933125972006221,0.0312536346802411,0.1045675653658449,0.0703309233405911,0.0786686838124054,0.0961239709195166,0.0408961356651323,0.0837202073172537,0.0498127604778287,0.0954003645282335,0.0786686838124054
TFDP1,0.059977532266262,0.1211116510793953,0.0643712574850299,0.1069903193863154,0.0624305604232116,0.1537925113001533,0.0558770338953291,0.0962838289557405,0.0710516385816796,0.0969793322734499,0.0643712574850299,0.0979082403944817,0.0989815192802658,0.1407671251026971,0.1069330914543154,0.1310946240233014,0.1386455521874693,0.0904684241841021,0.0811232449297971,0.0532155179424003,0.0811232449297972,0.0739380063127315,0.0879934462039345,0.0810229439012422,0.0,0.0740371629373272,0.1564826075904457,0.0947951702444594,0.1716296770788934,0.1085353902922715,0.1305262629748945,0.0839125717150142,0.0718562874251497,0.0725821183889228,0.1147049524491421,0.0800367241989427,0.1249483642404789,0.0761493019281892,0.0714500576900137,0.0716372548882071,0.0718562874251497,0.0782430974508839,0.0770984301619675,0.078604280858246,0.0650994244385181,0.0715396578538102,0.1080831220076343,0.0452124597012082,0.1220512210678255,0.0680786686838124,0.0895237405890979,0.1102428517916533,0.1273765642646106,0.0904427977314645,0.0909464105404436,0.0680786686838124
TFDP2,0.014161460810815,0.0335007184288224,0.0568862275449102,0.0573284736807054,0.0567456317981682,0.0239597333569831,0.0866994796908143,0.0657781577082221,0.0626472430226434,0.0651828298887122,0.0568862275449101,0.0629135310702185,0.0272467757700751,0.0190818827516541,0.0261212995050654,0.0426949722275757,0.0561558645848223,0.0255486599903725,0.0842433697347893,0.0197289783592071,0.0842433697347894,0.0862404285221445,0.0252433957873012,0.0920924808410214,0.0742858230344298,0.0801452547155243,0.0407739616401201,0.0155209911454989,0.0318096971552292,0.0276652694071402,0.0554035510622265,0.0862756787594989,0.0748502994011976,0.0717152982472708,0.028628570810008,0.0646618532838695,0.0926201699240586,0.0232876794732088,0.0732761535979457,0.0732624861120927,0.0748502994011976,0.0799008996457828,0.0,0.0776300785974668,0.0660177314487713,0.0730948678071539,0.0342184586838596,0.0713002584921865,0.0465086091834727,0.0892586989409984,0.066375991219113,0.0563227343818818,0.0532695481378492,0.0681685664900524,0.0651260435336817,0.0892586989409984
EP300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNH,0.0105511547653505,0.0436162541045478,0.0598802395209581,0.0872964939805748,0.0630714878214545,0.0281431705270179,0.0878614269090828,0.0923791599465341,0.0658180385109216,0.0937996820349762,0.059880239520958,0.0924279059494229,0.0402056159636517,0.022039745073076,0.0408050245238003,0.0561841249497773,0.0366265735449421,0.0248609279179871,0.0577223088923557,0.0139183157585847,0.0577223088923556,0.0707667954021554,0.0176909837900882,0.076911353082743,0.0477637220056545,0.0,0.0244950505790584,0.0181779351146003,0.0194096937261803,0.0241473416070161,0.0367680873217055,0.0783672192188136,0.0703592814371257,0.0874330616394747,0.0249060831321116,0.0782087187037567,0.0738777646848955,0.0281263300213648,0.0695194034852469,0.0917567146907572,0.0703592814371257,0.0994829074593871,0.0743528859250717,0.0991715875408476,0.0621617591307648,0.0917573872472784,0.0305654651091503,0.0887332703023968,0.0517544477203365,0.0907715582450832,0.0710440797330295,0.0466158009163107,0.063625199100115,0.0617243745566368,0.0717021100191005,0.0907715582450831
CDK1,0.1437748315697925,0.0,0.0808383233532934,0.0980889128388842,0.0819195019703309,0.0641135926506162,0.0717744205716734,0.0994968977259795,0.0890836762278427,0.0985691573926868,0.0808383233532934,0.0970556676969367,0.0674931388472707,0.0655404708181156,0.0653819041039498,0.0635750393582428,0.0666443354497001,0.0614853734678947,0.0826833073322932,0.1356353065744548,0.0826833073322932,0.0704013827738927,0.1512691673055253,0.0755480098984555,0.0763631186986606,0.0821411562989431,0.0828278447153691,0.0811199794908037,0.108801238899679,0.0575142599678755,0.0703998769041759,0.0744089618736808,0.0823353293413173,0.0851674260486361,0.0625148366503622,0.0841013331762442,0.0568887123395861,0.1007727442346799,0.0857766614683408,0.0806538694216902,0.0823353293413173,0.0871135809866538,0.0933519384940597,0.0910805962032152,0.0980040234135218,0.0808709175738724,0.0546116045934077,0.1031488008548036,0.0567898294597699,0.0680786686838124,0.0624892571800469,0.0584391013265605,0.0405421168763159,0.0584680729911052,0.058480804506184,0.0680786686838124
HDAC1,0.0622347607907568,0.1437918418690861,0.0748502994011976,0.0656629517375956,0.0751268421720914,0.1033128605534106,0.0718088827772877,0.0604291043486458,0.0825072229527545,0.0588235294117646,0.0748502994011976,0.0589135509364346,0.1137973807295858,0.1204614923188158,0.0955053697344225,0.0862138831788541,0.0620026761377348,0.1190404432589612,0.0826833073322932,0.061478590907511,0.0826833073322932,0.0870704487842912,0.0447478642188394,0.0967379107302488,0.0789414190128389,0.1032854023936402,0.0,0.1256473372388633,0.071307601271056,0.1236292672492237,0.0801071057255998,0.0992567473743906,0.0748502994011976,0.0814018286301473,0.1065149705111915,0.0743160382685123,0.0377501402379346,0.0473512659172615,0.0747911861739,0.0755625295074094,0.0748502994011976,0.0815473250686136,0.080731571844312,0.0855262876842502,0.0874527210262735,0.0758164852255054,0.1198011833815863,0.0960156891960649,0.0591648431867372,0.086232980332829,0.0963683578604097,0.0908463167702425,0.0615974820317767,0.0850880472217661,0.0972268816459474,0.086232980332829
HDAC2,0.0925137924261529,0.0526617019036834,0.0928143712574849,0.0731255299772997,0.0957282933101589,0.0583832083845512,0.0712676565269682,0.0671349626896037,0.0,0.0667726550079491,0.092814371257485,0.0673307033582662,0.1010194189963171,0.0655049448450039,0.0989613263721433,0.053080542290605,0.0454205145459972,0.0920651292813556,0.0577223088923557,0.0751441991303586,0.0577223088923556,0.0684326875340416,0.0776754754888823,0.0742675631996143,0.1023875111510856,0.0647012429556,0.0542769687579151,0.0602629468308347,0.0332324311488307,0.0669528457573927,0.0483114448700711,0.0733686667047015,0.0808383233532934,0.076966668612447,0.0878834486665986,0.0708287668846046,0.1476199923128097,0.0928693166530495,0.0817945474410681,0.0728335464013559,0.0808383233532934,0.0786492008658938,0.0886133978855005,0.083451640422319,0.0752530994983409,0.0730948678071539,0.1057261403354935,0.0562183888683808,0.0992156370714704,0.1104387291981845,0.065141469851086,0.0757612014098672,0.1046251613958381,0.1259284382151701,0.0686795928449466,0.1104387291981844
