,CDC6,CDK1,WEE1,MYC,SMC1A,BUB3,SMC3,HDAC2,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,GADD45A,SKP1,YWHAB,PRKDC,ORC5,CDKN1A,MCM7,CCND3,MAD2L2,CDC7,BUB1,CDC45,CCND1,ANAPC5,ANAPC13,SFN,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.0249918165117411,0.0835460977599494,0.0220700774685251,0.0,0.0513356785120677,0.1340061694476209,0.0623890224422782,0.1151334075315499,0.0434236487367474,0.1024922872728195,0.0658682634730538,0.0645218676208479,0.0329259440530767,0.106067179072092,0.0674342240560429,0.0543024299567586,0.0418540050207829,0.0885113338077022,0.0509055915032836,0.0325438215424627,0.0947031306093591,0.0569745586043852,0.0515052976402645,0.1012246530671006,0.0437660100976395,0.1126300536141642,0.0426141183401457,0.0250020740820901,0.0815822141080522,0.0311788126837244,0.0265406213310949,0.1035550158645438,0.0411778770739976,0.034465181776058,0.0339940197551286,0.0834129533503433,0.0825914342431446,0.0246390874380524,0.0449994475365636,0.0843356775739758,0.0925139844891846,0.0855365474339035,0.0338093632322701,0.0813198123878872,0.0823353293413173,0.0707524701259437,0.0674253216704185,0.0481030296810155,0.0338832790614039,0.0293944460312912,0.0753623188405797
SMAD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFDP1,0.1180679627491453,0.1201924970551122,0.0977573601818707,0.0662530320713104,0.1071849613348295,0.0642131680757757,0.0920610248168722,0.0811241786286678,0.1321232871758209,0.0856814011021534,0.091317365269461,0.1025655324107362,0.1057273279408454,0.0773734538370923,0.0917260426009648,0.0877904759077004,0.1042766940885381,0.0971365433588749,0.0980768391919781,0.0952389340231535,0.0867052679242512,0.0,0.1222334644333769,0.1131221417489127,0.1030204021241419,0.0829522492723618,0.1065680186639656,0.1157451106001776,0.0869163610717614,0.086471056243975,0.1071823393866641,0.0807950636915385,0.1009345828624151,0.0839590622639614,0.0827551614014369,0.0893177878863368,0.0743639065005678,0.1040595220927438,0.1281126163942785,0.0886809027558677,0.0471902862094296,0.0870917573872472,0.0829124123813276,0.0866159501172977,0.0703592814371257,0.0919619685902052,0.0972986604329147,0.1071202065057759,0.0952053970506468,0.1182570214982795,0.0985507246376811
TFDP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNA2,0.1314948046532624,0.095006903988115,0.1023361217678206,0.127944909798149,0.1311857785129991,0.0892599691405189,0.1277623508715886,0.1070205582659131,0.0,0.0778858740678321,0.0898203592814371,0.1342608520361176,0.0720605260658669,0.0891996135120493,0.094270660917879,0.0904109789735468,0.096543673194147,0.10011056654987,0.0995977581067173,0.093735147988668,0.1335938881014082,0.137394371215924,0.1304562663999753,0.0981515544377177,0.0967177183191613,0.1390035360335326,0.0833518060276477,0.139091611547055,0.1063958912013307,0.1370395990405654,0.1225512406112187,0.1231807690429366,0.1000505596147307,0.1162706317216352,0.0795139116830905,0.0947070551188064,0.0881488211800014,0.1348488333693398,0.1460603719182383,0.0932709517698638,0.1541896118755038,0.0898133748055987,0.072775082625033,0.1064711002455602,0.0868263473053892,0.1195228141793182,0.012605686801842,0.1000409384788496,0.1024013713942245,0.0777391416106087,0.0956521739130434
CCNH,0.0787248644887766,0.0235829393706401,0.1588050330880032,0.0391134948241849,0.0385547099417598,0.0122577815418677,0.0264242590841786,0.0365978382701579,0.0513931054553452,0.0104797274293847,0.0209580838323353,0.0301415845659722,0.1617747424354158,0.0216999464959451,0.0197835140440385,0.1352217805112496,0.1832966938075777,0.018252826258317,0.162812352911017,0.1747154495373136,0.0256660161620752,0.0411646878724767,0.0,0.0160706793325862,0.1820125536089576,0.0370725154272423,0.032800308883072,0.0895474265015423,0.0348779945764812,0.1840247987358023,0.0373166820288661,0.0260640084161959,0.139232775034354,0.1600319463827744,0.1443736965067795,0.0216946243265987,0.023074488509778,0.0731764325316659,0.039047635617227,0.0217140317532478,0.0559700341523762,0.0241057542768273,0.1445917625250414,0.0401205720343079,0.0254491017964071,0.0471057072268585,0.0009396009720501,0.0347689558124678,0.1670117952468643,0.1381119487251471,0.0351449275362318
CDK1,0.1227710181321062,0.0,0.103330715192926,0.0840840821267887,0.1207605605172072,0.0769498874503888,0.1100197885039004,0.0963051707281545,0.1486402767736268,0.0979426123856824,0.1062874251497006,0.1153051933671561,0.1044928999485809,0.0900064702265784,0.1090553537295014,0.0877311968427324,0.108428614633183,0.0866397429293048,0.101030261610842,0.086057341847968,0.1103243928889656,0.1185820732939362,0.1325291816306414,0.0982197573847821,0.1068797589812609,0.0804917024250407,0.134688722049741,0.1017116371148894,0.1082692849942245,0.0705249179819004,0.1481045292148031,0.0811088082819325,0.1140163335173575,0.1075043568136188,0.1089685210834556,0.1042938166199351,0.0835343239235723,0.1306943209138927,0.1298312101520052,0.1041890245415323,0.0679230630276018,0.104199066874028,0.1118173866053017,0.0993260304508222,0.0838323353293413,0.1027730854223061,0.1098877371948979,0.1288104411117239,0.0827104828292224,0.0936499014861456,0.0753623188405797
HDAC1,0.0204508492468448,0.0709881392603667,0.0339688991010788,0.1374934855198819,0.0425690213449514,0.1220238910478185,0.0648782673691893,0.1073381201351342,0.0339440082039185,0.0952857430356986,0.0748502994011976,0.0533282481877209,0.0427296879436346,0.1015723012508785,0.0724506175276559,0.0587464869067741,0.027104062571849,0.1101286308930722,0.0328283270091367,0.0367369895754202,0.1024010524083288,0.0921540883386706,0.0333898232418169,0.0,0.0286136305637716,0.1299441806558839,0.0518024393534233,0.0357648018183445,0.0937022041727102,0.0369527912222328,0.0359779976920767,0.1197809858878148,0.0429742978530273,0.024145828643253,0.042440650210427,0.0821714744946101,0.0851101505743448,0.0214553539485106,0.0322599866256043,0.0826573439550657,0.098575882352756,0.0824261275272161,0.0422013085170907,0.0811507070217345,0.0868263473053892,0.0742805069566567,0.0667436979052156,0.0474074357757701,0.0327521946663459,0.0295852100080193,0.0797101449275362
HDAC2,0.0203074828742578,0.0637372526951161,0.0495726366349636,0.1217205261900647,0.0419542962705814,0.1110693041399678,0.0735814194376436,0.0,0.0321411576404393,0.0782138702734464,0.092814371257485,0.0475584333743326,0.0500033762444516,0.0843157430838442,0.0862785432933823,0.0608248567705316,0.0306669344971952,0.0926081165079473,0.0404492982570222,0.0428748031818147,0.1146326545856261,0.0494952679783097,0.0377771374818724,0.1051448475426415,0.0323781037109803,0.1027424788063017,0.0692325591574075,0.0214955310656286,0.1085688156346626,0.0416296101258792,0.0510214367089632,0.0950307775272667,0.0552041262561449,0.033197962302644,0.0433424504863833,0.0837957452343596,0.0812734216723923,0.0264824351437218,0.027060027398385,0.0842503182393343,0.0930452082181883,0.0839813374805598,0.0430953682983699,0.0815316191895005,0.0838323353293413,0.0740037289758564,0.060977431587148,0.0580316942894829,0.0364056449228605,0.0306416086657977,0.0909420289855072
