,Gini
TP-ABa_mom-2,0.17642735929420977
TP-ABa_cpg-1,0.15320146566804657
alpha-ABa_hil-2,0.1369041152130051
TP-P0_gpd-1,0.11200627872944052
alpha-diff2_wdr-5.1,0.10240373798859093
TP-AB_frg-1,0.09243191170830597
TP-ABa_ced-7,0.09240927032223491
alpha-diff2_crn-1,0.0878964203507943
alpha-diff2_rae-1,0.0877924221249674
alpha-diff_flh-1,0.08652569974195821
alpha-P1_mex-5,0.08251289336480512
TP-P1_rnp-1,0.07885000801486093
TP-P0_fzy-1,0.07821202067268244
TP-P2_thoc-3,0.07659501711289761
TP-ABa_hrde-1,0.07368924989770578
TP-ABa_rack-1,0.07212488996454777
alpha-AB_cogc-6,0.07107229820623487
TP-AB_cdk-1,0.07053016632521157
TP-ABa_rpa-1,0.0689844636191695
TP-P0_rsp-5,0.06810318360833068
TP-ABa_eef-1A.1,0.06787847768824744
TP-ABa_rps-3,0.06776773478040413
TP-ABa_cey-3,0.0667549648415938
alpha-diff_frg-1,0.06656774476898089
alpha-P1_spn-4,0.06597333766179356
alpha-diff2_C27H6.8,0.06463690709014763
TP-AB_cyb-3,0.06364762264690607
alpha-diff_F32D1.7,0.060457392237392237
alpha-P2_kle-2,0.059245932147289605
TP-P2_mbk-2,0.058935683796298766
TP-ABa_prdx-3,0.05702125807607425
alpha-P1_rsp-1,0.05695970386883659
alpha-diff_Y22D7AL.10,0.05620122426147478
alpha-diff_H04M03.3,0.05438619192095383
TP-ABa_nuo-1,0.05412439631917856
alpha-diff_panl-2,0.053988988938134794
alpha-diff_tpp-2,0.05356203079861734
alpha-diff_mom-2,0.0534930787265814
TP-ABa_icd-1,0.05242418274263864
TP-P2_larp-5,0.05232627804276714
alpha-AB_lmp-1,0.051260456092275725
alpha-diff_mdt-22,0.05030212219191446
TP-ABa_pigv-1,0.04974881161730425
alpha-diff_wdr-5.1,0.048975878433958446
alpha-ABa_mdt-4,0.04882733850027968
alpha-diff2_F48A11.4,0.04784171723812433
TP-AB_D2030.7,0.047143990872358564
TP-ABa_cpi-2,0.047042897674350756
alpha-ABa_Y37E3.1,0.04661360112570521
alpha-diff_eef-2,0.045956677685189594
alpha-P1_rsp-5,0.04527676375493118
alpha-AB_smc-5,0.0451188213083917
alpha-AB_C27F2.10,0.044888619366744376
TP-ABa_adss-1,0.04445060491907084
TP-AB_flh-1,0.044357445579286656
TP-ABa_lat-1,0.0438425872989409
alpha-diff2_panl-2,0.043311292190296724
alpha-diff2_kle-2,0.043235387523315856
alpha-P1_rpt-4,0.04306288129071783
alpha-diff_ndk-1,0.042887696124681414
TP-ABa_F49C12.9,0.04278565813679784
TP-ABa_clec-91,0.04274364155479978
alpha-P2_mtr-4,0.04230113325016734
TP-ABa_F49C12.11,0.042271328883534756
TP-ABa_sec-61.A,0.04183616635731455
TP-P1_nduo-6,0.040493741126262285
TP-P1_his-68,0.04042063159276919
alpha-diff2_pbs-1,0.04027948352833635
alpha-diff2_deps-1,0.03999892177267179
TP-ABa_wago-1,0.0390339136941528
alpha-diff_tofu-1,0.038831329062221004
TP-ABa_idh-1,0.038798272664050386
TP-P2_C30F12.4,0.03830254117677195
TP-ABa_exo-3,0.03800691991139772
TP-P2_rpt-5,0.03774482187646661
TP-P2_ogt-1,0.03757998869174593
TP-P2_jhdm-1,0.0375319644339865
TP-P0_rsp-1,0.03748365440390353
alpha-AB_frg-1,0.03703378682393106
alpha-diff_ndc-80,0.03665773150115345
alpha-diff_ire-1,0.03661714671061262
alpha-diff_Y54G11A.3,0.03654375346121952
alpha-diff_szy-5,0.036386339354842034
alpha-diff2_hil-2,0.03574986183467053
