"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00013258" "MATCH" "1" "polg-1" "Caenorhabditis elegans" "Y57A10A.15" "WBGene00013258" "Gene" "polg-1 encodes the C. elegans ortholog of human mitochondrial DNA polymerase gamma (POLG; OMIM:174763); polg-1 is required for normal levels of mitochondrial DNA during development, particularly during germ line development in late larval and adult stages; polg-1 is also required for normal brood sizes and adult lifespan."
"WBGene00013257" "MATCH" "1" "Y57A10A.14" "Caenorhabditis elegans" "Y57A10A.14" "WBGene00013257" "Gene" ""
"WBGene00013256" "MATCH" "1" "Y57A10A.13" "Caenorhabditis elegans" "Y57A10A.13" "WBGene00013256" "Gene" ""
"WBGene00013259" "MATCH" "1" "trpp-5" "Caenorhabditis elegans" "Y57A10A.16" "WBGene00013259" "Gene" ""
"WBGene00013261" "MATCH" "1" "sinh-1" "Caenorhabditis elegans" "Y57A10A.20" "WBGene00013261" "Gene" "sinh-1 encodes the C. elegans ortholog of mammalian SIN1, an essential component of the TORC2 complex that plays a key role in Akt phosphorylation and signaling; in C. elegans, loss of sinh-1 activity via RNAi results in enhanced dauer formation, increased thermotolerance, enhanced stress response, and daf-16-dependent lifespan extension."
"WBGene00255594" "MATCH" "1" "Y48G1BL.8" "Caenorhabditis elegans" "Y48G1BL.8" "WBGene00255594" "Gene" ""
"WBGene00013260" "MATCH" "1" "rsr-2" "Caenorhabditis elegans" "Y57A10A.19" "WBGene00013260" "Gene" ""
"WBGene00013265" "MATCH" "1" "parn-2" "Caenorhabditis elegans" "Y57A10A.25" "WBGene00013265" "Gene" ""
"WBGene00013264" "MATCH" "1" "Y57A10A.24" "Caenorhabditis elegans" "Y57A10A.24" "WBGene00013264" "Gene" ""
"WBGene00013263" "MATCH" "1" "txdc-12.1" "Caenorhabditis elegans" "Y57A10A.23" "WBGene00013263" "Gene" ""
"WBGene00001262" "MATCH" "1" "emb-8" "Caenorhabditis elegans" "K10D2.6" "WBGene00001262" "Gene" "emb-8 encodes the C. elegans NADPH-cytochrome P450 reductase ortholog; by homology, EMB-8 is predicted to function in the enzymatic reduction of the cytochrome P450 monooxygenase enzymes that play a role in fatty acid modification; during embryonic development, emb-8 activity is essential for normal interactions between the pronucleus/centrosome complex and the posterior cortex and thus, for proper anterior-posterior (A/P) polarity and localization of GLP-1, PAR-3, PAR-2, and P granules; emb-8 is also required for formation of the secreted eggshell; genetic studies indicate that, in regulating A/P polarity, emb-8 appears to function in the same pathway as pod-1 and pod-2."
"WBGene00013269" "MATCH" "1" "Y57A10A.29" "Caenorhabditis elegans" "Y57A10A.29" "WBGene00013269" "Gene" ""
"WBGene00013268" "MATCH" "1" "tric-1B.2" "Caenorhabditis elegans" "Y57A10A.28" "WBGene00013268" "Gene" ""
"WBGene00013267" "MATCH" "1" "Y57A10A.27" "Caenorhabditis elegans" "Y57A10A.27" "WBGene00013267" "Gene" ""
"WBGene00013266" "MATCH" "1" "Y57A10A.26" "Caenorhabditis elegans" "Y57A10A.26" "WBGene00013266" "Gene" ""
"WBGene00013272" "MATCH" "1" "aqp-12" "Caenorhabditis elegans" "Y57A10A.35" "WBGene00013272" "Gene" "aqp-12 encodes a divergent aquaporin homolog."
"WBGene00013270" "MATCH" "1" "Y57A10A.31" "Caenorhabditis elegans" "Y57A10A.31" "WBGene00013270" "Gene" ""
